Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-20,LT,EQ,1304.2,1313.95,1319.9,1306.5,1311.1,1309.6,1312.97,2542477,333819423320000.0,112596,1476266,0.5806
2020-01-21,LT,EQ,1309.6,1304.75,1313.9,1300.45,1302.1,1302.35,1306.33,1361576,177866578005000.0,74036,642210,0.4717
2020-01-22,LT,EQ,1302.35,1311.0,1312.0,1292.0,1294.9,1294.2,1300.14,2449753,318501700935000.0,95993,1200261,0.49
2020-01-23,LT,EQ,1294.2,1307.0,1339.85,1306.0,1330.45,1332.3,1329.21,10056067,1336661446630000.0,219420,5967017,0.5934
2020-01-24,LT,EQ,1332.3,1332.0,1367.85,1332.0,1352.0,1359.2,1353.21,5837319,789913490710000.0,146118,3094867,0.5302
2020-01-27,LT,EQ,1359.2,1340.0,1364.9,1340.0,1347.0,1348.6,1354.47,2510013,339973489550000.0,71639,1102572,0.4393
2020-01-28,LT,EQ,1348.6,1350.9,1355.0,1338.0,1345.0,1346.65,1344.91,2352852,316436679895000.0,118120,1338450,0.5689000000000001
2020-01-29,LT,EQ,1346.65,1353.1,1374.95,1352.1,1365.05,1365.7,1366.37,3678474,502614321585000.06,108090,1738488,0.47259999999999996
2020-01-30,LT,EQ,1365.7,1365.95,1376.8,1353.0,1365.0,1370.2,1364.75,2743506,374419266065000.0,76783,1428482,0.5207
2020-01-31,LT,EQ,1370.2,1375.95,1377.0,1360.45,1370.0,1369.3,1370.07,3939306,539713173955000.0,127379,2034216,0.5164
2020-02-01,LT,EQ,1369.3,1372.6,1383.7,1280.0,1286.6,1287.4,1329.24,8300700,1103360206660000.0,292918,3308024,0.3985
2020-02-03,LT,EQ,1287.4,1290.0,1303.9,1272.0,1287.05,1286.65,1286.44,5767353,741933401975000.0,248556,3051281,0.5291
2020-02-04,LT,EQ,1286.65,1296.0,1307.3,1287.55,1293.0,1291.75,1297.18,3604309,467544439339999.94,117966,2029053,0.563
2020-02-05,LT,EQ,1291.75,1297.9,1325.0,1295.0,1311.0,1310.05,1312.9,4220104,554059047770000.0,111767,1998826,0.4736
2020-02-06,LT,EQ,1310.05,1322.9,1325.0,1309.05,1317.0,1317.6,1317.41,2354458,310177712725000.0,85894,1201476,0.5103
2020-02-07,LT,EQ,1317.6,1313.05,1314.4,1296.0,1298.5,1299.0,1301.73,3053804,397523537335000.0,89067,1798671,0.589
2020-02-10,LT,EQ,1299.0,1300.0,1302.45,1273.1,1283.0,1285.3,1283.99,3039992,390332682565000.0,120243,1489679,0.49
2020-02-11,LT,EQ,1285.3,1292.0,1298.95,1284.0,1286.25,1286.9,1291.89,2200796,284318193860000.0,114602,1193438,0.5423
2020-02-12,LT,EQ,1286.9,1289.1,1299.85,1280.0,1299.0,1297.3,1290.13,2568696,331395665235000.0,127830,1455688,0.5667
2020-02-13,LT,EQ,1297.3,1299.0,1299.85,1285.0,1291.0,1292.25,1290.74,1545536,199489012550000.0,79219,862882,0.5583
2020-02-14,LT,EQ,1292.25,1295.0,1304.95,1290.6,1293.2,1295.15,1297.12,1780119,230902949215000.0,79043,993513,0.5581
2020-02-17,LT,EQ,1295.15,1297.0,1297.85,1277.0,1281.5,1280.2,1285.41,2155085,277015957860000.0,70230,1360987,0.6315
2020-02-18,LT,EQ,1280.2,1281.5,1289.8,1266.45,1288.0,1286.35,1276.29,2347917,299663086805000.0,96379,1291867,0.5502
2020-02-19,LT,EQ,1286.35,1298.0,1299.0,1276.6,1281.5,1281.4,1282.49,1820353,233458693480000.03,77257,972869,0.5344
2020-02-20,LT,EQ,1281.4,1279.9,1288.9,1275.3,1282.0,1280.6,1281.55,3034681,388910781490000.0,131459,2076571,0.6843000000000001
2020-02-24,LT,EQ,1280.6,1271.9,1271.9,1252.65,1259.9,1259.7,1261.31,3414064,430620266670000.0,165366,2172243,0.6363000000000001
2020-02-25,LT,EQ,1259.7,1262.2,1265.65,1240.15,1241.85,1242.05,1247.67,3133077,390904712235000.0,131233,1962169,0.6263000000000001
2020-02-26,LT,EQ,1242.05,1235.0,1238.0,1206.0,1214.9,1211.15,1219.79,5721483,697902756855000.0,161455,3952254,0.6908
2020-02-27,LT,EQ,1211.15,1212.35,1216.95,1200.0,1208.7,1210.35,1207.28,4003149,483290653180000.0,141145,2264297,0.5656
2020-02-28,LT,EQ,1210.35,1189.65,1196.45,1162.0,1191.1,1187.55,1178.9,6286647,741130288580000.0,218919,4148466,0.6598999999999999
2020-03-02,LT,EQ,1187.55,1205.0,1212.35,1150.55,1153.9,1160.9,1183.81,3177486,376153194655000.0,109785,1547760,0.48710000000000003
2020-03-03,LT,EQ,1160.9,1166.0,1186.8,1162.05,1183.15,1181.3,1174.87,3134527,368267362160000.0,91823,1673501,0.5339
2020-03-04,LT,EQ,1181.3,1185.0,1187.85,1158.0,1175.9,1176.65,1175.29,3135151,368471047275000.0,115524,1837566,0.5861
2020-03-05,LT,EQ,1176.65,1180.1,1187.25,1166.2,1180.5,1182.45,1179.1,2625152,309531767390000.0,99673,1410938,0.5375
2020-03-06,LT,EQ,1182.45,1148.0,1164.0,1130.85,1154.85,1158.9,1145.21,3956575,453110710660000.06,146183,2425123,0.6129
2020-03-09,LT,EQ,1158.9,1135.8,1135.8,1067.3,1101.0,1101.95,1094.26,8038432,879614695345000.1,244516,4877266,0.6067
2020-03-11,LT,EQ,1101.95,1090.0,1120.95,1085.8,1119.0,1116.95,1110.74,5628178,625146344865000.0,212206,3757080,0.6675
2020-03-12,LT,EQ,1116.95,1070.0,1070.05,1004.1,1020.0,1016.55,1032.32,9200492,949788336020000.1,294935,5761704,0.6262
2020-03-13,LT,EQ,1016.55,950.0,1060.45,890.0,1060.0,1051.45,1001.53,8117968,813037417260000.0,300693,3967242,0.48869999999999997
2020-03-16,LT,EQ,1051.45,1014.25,1042.0,961.9,968.0,968.7,998.65,6672579,666353812585000.0,316173,3789060,0.5679
2020-03-17,LT,EQ,968.7,972.0,1005.0,940.15,953.0,956.75,974.73,4720357,460105498064999.94,186154,2475763,0.5245000000000001
2020-03-18,LT,EQ,956.75,968.0,974.75,900.0,912.0,904.55,931.06,5586629,520149453880000.0,211669,3115116,0.5576
2020-03-19,LT,EQ,904.55,873.9,884.0,837.7,839.0,843.1,859.14,7252149,623061255585000.0,311401,3830277,0.5282
2020-03-20,LT,EQ,843.1,849.0,877.8,831.3,852.0,864.7,854.1,6130498,523603598580000.0,222198,2980313,0.48610000000000003
2020-03-23,LT,EQ,864.7,809.0,809.95,706.0,721.0,724.05,745.22,7310033,544757809030000.0,290747,4889398,0.6689
2020-03-24,LT,EQ,724.05,755.0,755.75,672.0,710.0,707.9,707.2,7113438,503065670530000.0,263108,3727858,0.5241
2020-03-25,LT,EQ,707.9,697.2,775.0,661.0,769.0,765.75,698.45,16122626,1126078875170000.0,321286,10165613,0.6305
2020-03-26,LT,EQ,765.75,787.75,842.3,754.15,842.3,838.0,807.95,9028697,729477674875000.0,243919,4654113,0.5155
2020-03-27,LT,EQ,838.0,867.9,890.0,812.0,841.0,837.05,845.61,6573602,555869274730000.0,202101,2693934,0.4098
2020-03-30,LT,EQ,837.05,801.0,815.0,791.0,799.0,798.65,802.54,4474168,359070299640000.0,176856,2250537,0.503
2020-03-31,LT,EQ,798.65,820.0,823.0,791.2,810.1,808.5,806.85,8045539,649157237300000.0,160157,5662636,0.7038
2020-04-01,LT,EQ,808.5,806.85,812.4,766.55,775.55,774.35,782.06,4104461,320993113915000.0,207097,2067320,0.5037
2020-04-03,LT,EQ,774.35,791.1,791.1,762.8,783.0,774.65,773.33,4268501,330097478015000.0,186484,1745998,0.409
2020-04-07,LT,EQ,774.65,805.0,813.0,791.0,802.2,801.65,804.35,5769216,464045710750000.0,189036,2751838,0.47700000000000004
2020-04-08,LT,EQ,801.65,804.0,832.0,797.7,808.0,807.1,813.47,6151093,500375311895000.0,166115,2611764,0.42460000000000003
2020-04-09,LT,EQ,807.1,834.35,834.35,804.4,805.0,812.8,816.43,6410629,523384914220000.0,185106,3814452,0.595
2020-04-13,LT,EQ,812.8,812.8,872.4,807.95,864.4,865.45,847.08,9462929,801589740195000.0,264873,3521101,0.37210000000000004
2020-04-15,LT,EQ,865.45,890.95,926.6,869.0,876.9,880.15,902.16,10435586,941461974050000.0,295558,5100145,0.48869999999999997
2020-04-16,LT,EQ,880.15,875.95,919.8,870.15,909.0,911.65,908.8,6980628,634402033645000.0,206450,2765035,0.3961
2020-04-17,LT,EQ,911.65,930.0,940.0,916.0,935.0,932.9,927.6,5827735,540580156370000.0,185080,2256092,0.3871
2020-04-20,LT,EQ,932.9,940.8,943.0,911.0,918.0,915.6,928.59,4958437,460435291675000.0,158851,2198854,0.4435
2020-04-21,LT,EQ,915.6,897.0,906.6,863.0,875.0,870.35,882.81,5122597,452227275480000.0,164745,2249946,0.43920000000000003
2020-04-22,LT,EQ,870.35,873.0,885.5,850.0,855.5,852.6,866.49,6090177,527710209350000.0,235279,2298752,0.3775
2020-04-23,LT,EQ,852.6,860.0,869.5,835.0,843.35,840.6,853.02,6322048,539285886375000.0,227895,2671362,0.4225
2020-04-24,LT,EQ,840.6,838.0,869.0,834.15,851.0,851.2,855.24,7960660,680824962305000.0,220618,2156040,0.2708
2020-04-27,LT,EQ,851.2,861.95,874.9,852.25,857.0,855.25,863.75,4224467,364890106600000.0,142648,1620694,0.3836
2020-04-28,LT,EQ,855.25,863.8,867.7,852.1,856.7,857.15,859.19,3773038,324176342775000.0,108569,1582742,0.41950000000000004
2020-04-29,LT,EQ,857.15,862.0,883.05,854.0,871.45,875.35,869.91,4841417,421160582285000.0,152437,1824481,0.3768
2020-04-30,LT,EQ,875.35,890.2,916.8,884.1,897.95,897.55,902.78,6333023,571730026045000.0,162674,2314871,0.3655
2020-05-04,LT,EQ,897.55,880.0,880.0,845.0,852.0,850.65,853.65,4678679,399397519935000.0,188413,2286723,0.4888
2020-05-05,LT,EQ,850.65,861.0,869.8,835.0,840.0,836.9,850.68,4296534,365496128200000.0,119699,1482602,0.34509999999999996
2020-05-06,LT,EQ,836.9,838.0,848.0,817.6,839.0,837.3,834.11,5081614,423861224770000.0,160333,1251670,0.2463
2020-05-07,LT,EQ,837.3,833.0,836.05,820.1,825.4,822.85,827.29,3529156,291962612030000.0,138162,1516256,0.42960000000000004
2020-05-08,LT,EQ,822.85,833.0,834.85,810.0,816.5,815.95,820.16,4394534,360421811095000.0,145863,1470673,0.3347
2020-05-11,LT,EQ,815.95,821.2,827.5,816.35,822.0,821.6,821.97,2882960,236970477835000.0,133688,1202149,0.41700000000000004
2020-05-12,LT,EQ,821.6,817.0,819.25,804.0,816.0,814.8,810.07,3024386,244997848785000.0,112515,1129539,0.3735
2020-05-13,LT,EQ,814.8,863.7,871.95,850.5,866.0,862.9,862.19,8625530,743684249020000.0,280407,3582807,0.4154
2020-05-14,LT,EQ,862.9,858.9,879.6,841.5,879.0,871.65,857.63,6778688,581363767335000.0,212650,2742254,0.4045
2020-05-15,LT,EQ,871.65,881.95,885.0,854.0,861.25,864.4,868.05,5654025,490799150975000.0,151401,1257754,0.2225
2020-05-18,LT,EQ,864.4,869.9,870.0,810.0,816.0,813.35,827.92,6211450,514260965875000.0,189719,2270577,0.3655
2020-05-19,LT,EQ,813.35,827.1,833.8,791.7,801.0,796.35,814.75,5533176,450813905330000.0,188008,1981026,0.358
2020-05-20,LT,EQ,796.35,800.0,841.0,800.0,838.35,835.0,824.37,5950015,490499406464999.94,237183,1634280,0.2747
2020-05-21,LT,EQ,835.0,835.95,845.0,818.1,821.0,820.5,825.44,4701980,388119323425000.0,142535,1799953,0.38280000000000003
2020-05-22,LT,EQ,820.5,815.0,826.5,810.1,817.75,815.7,817.03,4609134,376581440875000.0,131973,1841457,0.3995
2020-05-26,LT,EQ,815.7,821.9,842.7,821.0,827.65,825.55,833.46,4335430,361342551385000.0,106351,1307167,0.3015
2020-05-27,LT,EQ,825.55,831.95,857.2,827.0,851.6,850.85,845.67,5159303,436306155830000.0,119231,1624353,0.3148
2020-05-28,LT,EQ,850.85,855.0,912.0,855.0,900.0,905.5,892.13,11481632,1024308905679999.9,271439,4734895,0.41240000000000004
2020-05-29,LT,EQ,905.5,893.2,937.5,891.0,930.0,932.25,920.49,10166680,935832990295000.1,222010,3582205,0.3523
2020-06-01,LT,EQ,932.25,944.65,974.15,924.0,926.05,928.15,952.14,7617393,725282782430000.0,211889,1985759,0.2607
2020-06-02,LT,EQ,928.15,935.0,953.0,913.05,944.85,945.45,935.26,7325689,685140400980000.0,172436,1447835,0.19760000000000003
2020-06-03,LT,EQ,945.45,955.95,972.85,955.0,962.0,961.3,964.16,4651583,448487836320000.0,151556,1568555,0.3372
2020-06-04,LT,EQ,961.3,961.05,968.0,928.6,931.45,930.7,941.67,5355971,504354406120000.0,160665,1443794,0.2696
2020-06-05,LT,EQ,930.7,940.0,959.9,936.6,957.55,955.25,950.73,6071134,577198026790000.0,158050,1619335,0.26670000000000005
2020-06-08,LT,EQ,955.25,979.5,995.0,949.0,958.1,961.35,966.82,9859059,953190256329999.9,272871,2994872,0.3038
2020-06-09,LT,EQ,961.35,964.5,970.25,949.7,951.0,953.3,961.35,5118269,492042905864999.94,139593,2172162,0.4244
2020-06-10,LT,EQ,953.3,957.0,959.5,935.7,946.8,946.55,944.05,5176121,488652883000000.0,156984,2408016,0.46520000000000006
2020-06-11,LT,EQ,946.55,944.0,952.0,928.2,929.55,930.45,938.21,3603243,338059348960000.0,119621,1677350,0.46549999999999997
2020-06-12,LT,EQ,930.45,890.0,929.9,890.0,924.95,926.4,906.73,5411426,490671207110000.06,155442,1522538,0.28140000000000004
2020-06-15,LT,EQ,926.4,921.8,929.45,894.1,903.95,899.9,902.43,4982534,449640620985000.06,135778,1326485,0.2662
2020-06-16,LT,EQ,899.9,920.0,924.7,891.15,894.95,895.05,900.2,4661880,419662320185000.0,129600,1732717,0.37170000000000003
2020-06-17,LT,EQ,895.05,892.7,899.75,881.1,884.5,884.8,888.97,4681399,416163425130000.0,111562,1464845,0.3129
2020-06-18,LT,EQ,884.8,876.0,900.0,874.0,897.7,896.65,887.7,5870459,521118494325000.0,139814,2027354,0.3453
2020-06-19,LT,EQ,896.65,902.0,915.9,895.1,898.0,898.2,903.43,5410276,488779528045000.0,145857,2017901,0.373
2020-06-22,LT,EQ,898.2,905.0,916.0,896.0,908.0,907.45,907.01,6841671,620544359850000.0,184502,2820252,0.4122
2020-06-23,LT,EQ,907.45,910.0,970.0,909.0,968.5,967.6,948.42,14580386,1382837897380000.0,328772,2137025,0.4326
2020-06-24,LT,EQ,967.6,979.0,989.9,952.0,965.0,955.55,969.89,11985144,1162432718595000.0,279915,3622650,0.3023
2020-06-25,LT,EQ,955.55,949.9,964.8,936.25,942.65,943.1,948.77,7508089,712343676285000.0,191257,2401360,0.31980000000000003
2020-06-26,LT,EQ,943.1,955.0,976.1,940.5,959.15,962.2,957.91,6554208,627836472280000.0,139570,1790996,0.2733
2020-06-29,LT,EQ,962.2,950.0,956.1,930.0,938.2,936.6,937.78,4575981,429124836235000.0,102948,1322951,0.2891
2020-06-30,LT,EQ,936.6,948.7,952.15,931.4,945.0,943.65,942.9,3656535,344772968740000.0,79486,1073345,0.29350000000000004
2020-07-01,LT,EQ,943.65,941.0,941.0,917.0,924.85,924.3,923.98,6426447,593789554165000.0,173840,2330701,0.3627
2020-07-02,LT,EQ,924.3,936.0,950.7,926.0,941.25,941.3,938.7,6542838,614176441125000.0,142142,2093710,0.32
2020-07-03,LT,EQ,941.3,948.0,955.4,941.6,942.0,944.25,948.88,3928373,372755069960000.0,134693,1081498,0.27530000000000004
2020-07-06,LT,EQ,944.25,953.1,959.5,946.65,951.0,951.2,952.88,3901314,371747601045000.0,99034,1527917,0.39159999999999995
2020-07-07,LT,EQ,951.2,955.0,961.9,940.0,942.9,943.6,947.15,4051823,383767969695000.0,105096,1286342,0.3175
2020-07-08,LT,EQ,943.6,944.95,964.4,938.0,939.85,941.25,949.81,5227150,496480532020000.0,155681,1808946,0.3461
2020-07-09,LT,EQ,941.25,945.0,952.0,940.0,945.2,944.95,944.99,3777810,357000187495000.0,97168,1413953,0.3743
2020-07-10,LT,EQ,944.95,940.0,952.0,930.55,935.0,932.15,937.67,4537693,425484483695000.0,126721,1816498,0.40030000000000004
2020-07-13,LT,EQ,932.15,940.0,944.8,925.0,931.0,928.15,934.58,3821343,357135145650000.0,96417,1457533,0.3814
2020-07-14,LT,EQ,928.15,928.0,934.95,905.85,912.5,912.9,917.71,3646381,334632901410000.0,119321,1344229,0.3686
2020-07-15,LT,EQ,912.9,918.05,925.0,909.3,912.95,912.2,916.47,3229981,296018415080000.0,95965,865871,0.2681
2020-07-16,LT,EQ,912.2,913.0,924.0,898.45,919.5,921.15,912.25,3134583,285951315455000.0,118231,1047265,0.33409999999999995
2020-07-17,LT,EQ,921.15,922.1,929.95,918.0,926.9,925.55,925.47,2040652,188855404015000.0,62008,653772,0.3204
2020-07-20,LT,EQ,925.55,929.0,931.9,915.0,918.65,919.6,922.52,3036076,280085531730000.03,122830,1101466,0.3628
2020-07-21,LT,EQ,919.6,927.0,942.3,920.6,939.2,938.05,934.53,4759427,444781574430000.0,104084,1686974,0.3544
2020-07-22,LT,EQ,938.05,939.2,941.0,910.0,921.9,920.9,923.38,4977538,459616998100000.0,141182,1769615,0.3555
2020-07-23,LT,EQ,920.9,912.0,937.95,911.35,916.9,916.55,923.27,9075111,837875975525000.0,192908,1790866,0.1973
2020-07-24,LT,EQ,916.55,914.4,914.5,898.05,904.9,904.4,904.29,6059497,547955166050000.0,165379,2220466,0.3664
2020-07-27,LT,EQ,904.4,908.0,915.0,896.3,903.0,903.8,905.12,3615980,327291070670000.0,84185,1034607,0.2861
2020-07-28,LT,EQ,903.8,908.8,917.0,899.0,913.5,913.5,910.05,3793771,345251014235000.0,87015,1571525,0.4142
2020-07-29,LT,EQ,913.5,919.6,940.85,917.25,925.0,921.95,930.17,7245293,673938019845000.0,149822,2524775,0.34850000000000003
2020-07-30,LT,EQ,921.95,929.0,932.7,904.2,911.0,908.25,916.09,3364418,308210820100000.0,99077,1376469,0.40909999999999996
2020-07-31,LT,EQ,908.25,913.9,922.9,907.05,914.4,913.45,914.28,2944063,269169134444999.97,65192,982079,0.3336
2020-08-03,LT,EQ,913.45,913.0,919.75,903.55,917.95,915.9,910.93,3583271,326412517655000.0,78118,1304027,0.3639
2020-08-04,LT,EQ,915.9,918.0,930.0,916.6,925.0,924.25,924.71,3860457,356981550205000.0,103376,1259096,0.3262
2020-08-05,LT,EQ,924.25,923.95,934.5,920.8,924.0,925.75,928.6,3008672,279385727390000.0,57782,964953,0.3207
2020-08-06,LT,EQ,925.75,926.05,933.7,920.25,922.7,922.15,927.33,2188238,202922099485000.0,50102,641346,0.29309999999999997
2020-08-07,LT,EQ,922.15,922.55,926.85,914.1,916.05,915.65,918.39,2461159,226029153660000.0,56302,1181837,0.4802
2020-08-10,LT,EQ,915.65,925.0,970.0,925.0,959.95,960.05,958.23,11861752,1136634364260000.0,262771,4207125,0.3547
2020-08-11,LT,EQ,960.05,969.6,979.7,957.1,961.5,961.9,966.93,5427537,524806192925000.0,137524,2103416,0.3875
2020-08-12,LT,EQ,961.9,952.0,956.0,945.0,950.5,949.75,950.82,3673009,349237121535000.0,70349,2004866,0.5458
2020-08-13,LT,EQ,949.75,957.0,993.65,951.55,991.4,990.7,976.81,8816753,861227800504999.9,184112,2698407,0.3061
2020-08-14,LT,EQ,990.7,999.95,1017.0,973.4,982.0,982.8,1000.06,13444105,1344491444465000.0,257553,2379044,0.177
2020-08-17,LT,EQ,982.8,1002.0,1007.0,987.7,1000.3,1000.8,999.33,4735275,473209233095000.0,106812,1042845,0.2202
2020-08-18,LT,EQ,1000.8,1005.95,1008.0,995.4,1007.5,1004.55,1001.01,4362052,436644622239999.94,88358,1545234,0.3542
2020-08-19,LT,EQ,1004.55,1017.25,1024.95,1005.4,1011.0,1009.1,1015.06,4914253,498826369855000.0,101140,968691,0.19710000000000003
