Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-02-06,HINDPETRO,EQ,236.95,234.05,245.0,233.0,242.95,243.4,238.5,6589559,157164157005000.0,49748,2198705,0.3337
2020-02-07,HINDPETRO,EQ,243.4,242.0,243.4,236.6,240.15,241.05,239.69,3972973,95230012970000.0,44151,1477172,0.3718
2020-02-10,HINDPETRO,EQ,241.05,241.0,244.05,237.8,238.25,238.85,241.11,3378866,81468566070000.0,31424,1416448,0.4192
2020-02-11,HINDPETRO,EQ,238.85,241.2,243.45,239.55,240.35,240.0,241.16,2628201,63380540340000.0,39288,1188720,0.4523
2020-02-12,HINDPETRO,EQ,240.0,240.6,242.1,232.85,233.7,233.55,235.74,2431744,57326851140000.0,28079,1004777,0.4132
2020-02-13,HINDPETRO,EQ,233.55,233.7,236.2,232.3,234.85,235.05,234.54,1678476,39367779245000.0,19482,562339,0.335
2020-02-14,HINDPETRO,EQ,235.05,235.4,238.35,233.15,233.15,233.85,236.57,2328670,55089967850000.0,26114,754448,0.324
2020-02-17,HINDPETRO,EQ,233.85,234.0,234.7,229.15,230.0,230.0,230.8,1282476,29598953635000.004,16457,352680,0.275
2020-02-18,HINDPETRO,EQ,230.0,228.7,230.2,222.25,224.45,224.95,224.66,5379083,120844155000000.0,42127,2563522,0.47659999999999997
2020-02-19,HINDPETRO,EQ,224.95,226.0,227.0,223.5,226.2,226.45,225.39,2791585,62918719404999.99,24108,1029365,0.36869999999999997
2020-02-20,HINDPETRO,EQ,226.45,224.5,228.0,222.0,222.6,222.4,224.53,4909405,110231624875000.0,37171,2752557,0.5607
2020-02-24,HINDPETRO,EQ,222.4,222.2,222.6,213.9,214.7,216.2,219.01,3931405,86102956375000.0,42667,1757222,0.44700000000000006
2020-02-25,HINDPETRO,EQ,216.2,217.0,218.35,207.8,211.3,211.05,212.78,3624427,77121633500000.0,41987,1429362,0.3944
2020-02-26,HINDPETRO,EQ,211.05,211.0,211.3,207.15,208.4,208.85,209.04,5069210,105967938005000.0,43117,2435380,0.4804
2020-02-27,HINDPETRO,EQ,208.85,209.0,211.7,203.15,206.15,204.4,207.07,5070833,104999433200000.0,59759,2185571,0.43100000000000005
2020-02-28,HINDPETRO,EQ,204.4,202.95,203.0,194.5,197.55,197.55,197.79,6824810,134989714390000.02,54781,2743134,0.4019
2020-03-02,HINDPETRO,EQ,197.55,200.7,204.25,193.05,195.0,194.95,199.8,3637789,72682120210000.0,32827,1099715,0.3023
2020-03-03,HINDPETRO,EQ,194.95,196.05,207.85,196.0,206.5,205.55,203.68,6194553,126167573530000.0,47805,2061952,0.3329
2020-03-04,HINDPETRO,EQ,205.55,207.0,207.9,201.25,204.95,206.1,205.26,4134402,84863832830000.0,28790,1535217,0.3713
2020-03-05,HINDPETRO,EQ,206.1,206.95,210.8,203.1,204.0,203.7,206.26,4449463,91773327550000.0,31208,2104114,0.4729
2020-03-06,HINDPETRO,EQ,203.7,198.0,204.1,191.1,201.7,201.15,198.63,7819766,155322355105000.0,49000,4088914,0.5229
2020-03-09,HINDPETRO,EQ,201.15,206.15,226.85,204.6,209.35,212.6,215.9,24698143,533241158470000.0,183239,8677325,0.35130000000000006
2020-03-11,HINDPETRO,EQ,212.6,208.0,214.45,203.7,210.35,211.05,208.08,8384982,174475507435000.0,95011,3545926,0.4229
2020-03-12,HINDPETRO,EQ,211.05,204.65,204.65,180.3,187.5,184.2,187.91,11874314,223134079444999.97,99784,4879120,0.41090000000000004
2020-03-13,HINDPETRO,EQ,184.2,179.4,201.9,150.0,198.55,197.6,189.68,10630895,201647501300000.0,101281,3427824,0.3224
2020-03-16,HINDPETRO,EQ,197.6,191.85,215.5,184.0,205.0,204.8,206.35,14422721,297607528815000.0,106081,4070394,0.2822
2020-03-17,HINDPETRO,EQ,204.8,206.0,221.9,200.25,218.9,217.05,217.01,11902759,258297915255000.03,159775,4779176,0.40149999999999997
2020-03-18,HINDPETRO,EQ,217.05,219.0,222.15,202.0,209.0,205.3,210.11,5328383,111954032359999.98,44670,1537438,0.28850000000000003
2020-03-19,HINDPETRO,EQ,205.3,193.1,202.5,180.0,190.6,190.1,192.14,8990449,172744525345000.0,89235,2628506,0.2924
2020-03-20,HINDPETRO,EQ,190.1,195.4,212.45,189.6,210.0,208.5,201.88,7869410,158869264835000.0,52680,2997163,0.3809
2020-03-23,HINDPETRO,EQ,208.5,195.7,197.9,177.6,184.0,183.8,188.65,5621257,106046376455000.0,67145,2875050,0.5115
2020-03-24,HINDPETRO,EQ,183.8,190.75,194.0,178.75,185.95,184.55,185.03,5913638,109419435859999.98,72089,2230095,0.3771
2020-03-25,HINDPETRO,EQ,184.55,180.0,186.55,175.0,177.6,177.4,180.31,6725194,121265038215000.02,58450,2958455,0.4399
2020-03-26,HINDPETRO,EQ,177.4,179.0,183.9,175.0,176.05,177.3,179.41,5214817,93558491290000.0,42717,1831327,0.35119999999999996
2020-03-27,HINDPETRO,EQ,177.3,179.15,183.5,167.55,170.2,170.25,173.3,6766518,117264425140000.02,71986,2166294,0.3201
2020-03-30,HINDPETRO,EQ,170.25,170.1,174.4,164.3,167.4,167.9,169.68,4393333,74544965885000.0,57871,1105950,0.25170000000000003
2020-03-31,HINDPETRO,EQ,167.9,171.0,192.0,169.95,189.5,190.1,186.09,13472821,250719958405000.03,122127,5206216,0.3864
2020-04-01,HINDPETRO,EQ,190.1,190.1,195.4,180.85,182.2,184.0,185.74,7287205,135352517825000.0,58203,2277444,0.3125
2020-04-03,HINDPETRO,EQ,184.0,184.0,192.8,175.55,182.0,184.2,184.78,9509089,175707631365000.0,90827,2975601,0.3129
2020-04-07,HINDPETRO,EQ,184.2,193.0,205.9,185.25,199.15,200.1,198.09,10294946,203928673185000.0,95122,3877453,0.3766
2020-04-08,HINDPETRO,EQ,200.1,199.9,204.7,195.45,199.35,199.5,200.54,5905379,118426328509999.98,66888,1632279,0.27640000000000003
2020-04-09,HINDPETRO,EQ,199.5,202.0,211.8,197.4,207.45,207.85,205.57,9847845,202438596135000.0,98263,3285307,0.3336
2020-04-13,HINDPETRO,EQ,207.85,209.0,211.7,199.45,204.05,205.45,204.04,4934849,100690125675000.0,46508,1012789,0.2052
2020-04-15,HINDPETRO,EQ,205.45,209.0,220.0,205.8,209.1,208.45,212.63,7486566,159188611520000.0,79285,3529964,0.4715
2020-04-16,HINDPETRO,EQ,208.45,210.8,218.2,208.3,215.0,213.85,213.98,4873925,104290296860000.0,49961,1577932,0.3237
2020-04-17,HINDPETRO,EQ,213.85,219.9,219.9,213.05,218.5,217.7,216.76,3891768,84356612340000.0,58588,1322270,0.3398
2020-04-20,HINDPETRO,EQ,217.7,220.8,228.5,218.25,227.2,227.4,224.49,5607632,125883173125000.0,48585,1777657,0.317
2020-04-21,HINDPETRO,EQ,227.4,226.95,227.45,214.5,215.65,215.85,220.25,6911751,152231445245000.0,50992,2884591,0.4173
2020-04-22,HINDPETRO,EQ,215.85,216.95,217.5,206.45,212.4,212.7,211.07,4806748,101456371235000.0,42478,1286233,0.2676
2020-04-23,HINDPETRO,EQ,212.7,212.7,218.35,207.9,209.8,209.5,211.12,5474561,115576248140000.02,45341,2466503,0.45049999999999996
2020-04-24,HINDPETRO,EQ,209.5,208.75,208.75,200.0,200.5,201.4,203.76,3619046,73742347050000.0,46632,1494256,0.4129
2020-04-27,HINDPETRO,EQ,201.4,202.4,214.1,202.4,208.15,208.25,208.28,9188353,191375426750000.0,74598,5094011,0.5544
2020-04-28,HINDPETRO,EQ,208.25,210.25,218.0,208.8,210.45,210.9,213.71,9677242,206811777690000.0,109579,5581117,0.5767
2020-04-29,HINDPETRO,EQ,210.9,211.2,212.05,206.7,208.0,208.35,209.73,6702713,140575249045000.0,88677,4193556,0.6257
2020-04-30,HINDPETRO,EQ,208.35,211.05,224.4,206.7,219.35,220.3,213.64,10064082,215009747269999.97,100448,4778415,0.4748
2020-05-04,HINDPETRO,EQ,220.3,211.0,215.25,204.75,208.55,207.8,209.73,7123341,149398988275000.0,64160,3450183,0.4843
2020-05-05,HINDPETRO,EQ,207.8,212.0,220.0,210.35,214.85,214.6,216.78,8506260,184397455625000.0,64432,2792477,0.3283
2020-05-06,HINDPETRO,EQ,214.6,200.6,205.0,186.7,201.85,202.5,198.32,20179756,400196390610000.0,153672,3679296,0.18230000000000002
2020-05-07,HINDPETRO,EQ,202.5,201.0,204.85,199.05,200.0,200.9,202.06,7455909,150653730930000.0,70069,2301403,0.30870000000000003
2020-05-08,HINDPETRO,EQ,200.9,203.0,204.95,195.55,196.8,196.95,199.05,4540370,90374454300000.0,51392,1205357,0.2655
2020-05-11,HINDPETRO,EQ,196.95,198.0,201.2,191.8,192.0,192.65,195.91,4726064,92586563360000.0,42762,1791287,0.379
2020-05-12,HINDPETRO,EQ,192.65,192.0,195.05,187.0,190.5,189.95,190.99,3897833,74444999695000.0,33675,759299,0.1948
2020-05-13,HINDPETRO,EQ,189.95,195.5,196.95,189.55,192.55,192.3,193.92,6069059,117690405080000.0,46937,1015842,0.1674
2020-05-14,HINDPETRO,EQ,192.3,188.5,192.75,188.25,190.35,190.25,190.53,3587944,68359415315000.0,30554,874266,0.24370000000000003
2020-05-15,HINDPETRO,EQ,190.25,191.0,194.6,187.95,188.2,189.1,191.83,6601491,126637496165000.02,54818,1681272,0.2547
2020-05-18,HINDPETRO,EQ,189.1,189.5,190.45,170.75,173.1,172.5,177.25,11296262,200224194990000.0,101822,4598247,0.4071
2020-05-19,HINDPETRO,EQ,172.5,176.55,180.8,170.35,171.7,171.35,175.51,8206844,144041025615000.0,79673,2253568,0.2746
2020-05-20,HINDPETRO,EQ,171.35,172.0,180.9,170.95,178.9,178.85,176.9,6870474,121541543930000.0,55885,1985097,0.2889
2020-05-21,HINDPETRO,EQ,178.85,180.0,181.9,175.1,180.65,180.75,178.79,5610085,100301467790000.0,44810,1189227,0.212
2020-05-22,HINDPETRO,EQ,180.75,180.6,186.5,178.3,182.2,182.2,183.63,6263709,115022817490000.02,52287,1516874,0.2422
2020-05-26,HINDPETRO,EQ,182.2,183.0,184.8,178.3,179.5,179.3,182.01,4472319,81401387675000.0,36324,1491874,0.3336
2020-05-27,HINDPETRO,EQ,179.3,181.0,186.5,178.8,185.65,185.75,183.27,3837419,70329618260000.0,37113,1154674,0.3009
2020-05-28,HINDPETRO,EQ,185.75,186.95,188.8,183.7,185.5,185.85,186.82,3462845,64693033270000.01,26864,702256,0.2028
2020-05-29,HINDPETRO,EQ,185.85,184.65,197.65,183.95,192.5,194.55,194.06,11427437,221763249840000.0,98032,4458384,0.3901
2020-06-01,HINDPETRO,EQ,194.55,196.3,200.5,194.75,195.2,195.7,197.26,6041733,119176931365000.02,83764,1334458,0.2209
2020-06-02,HINDPETRO,EQ,195.7,196.0,196.9,192.3,193.9,193.75,194.23,3435871,66735459775000.0,48945,839723,0.2444
2020-06-03,HINDPETRO,EQ,193.75,194.8,201.75,194.0,197.55,197.05,198.05,6404066,126834530945000.0,68794,1791769,0.2798
2020-06-04,HINDPETRO,EQ,197.05,194.3,199.8,193.35,195.0,195.25,196.15,7762445,152256630755000.0,70897,2401143,0.3093
2020-06-05,HINDPETRO,EQ,195.25,196.8,205.45,195.3,205.0,204.6,201.84,9279286,187290442170000.0,78011,4045462,0.436
2020-06-08,HINDPETRO,EQ,204.6,209.6,222.5,208.4,216.65,216.45,217.65,10981195,239001081305000.03,97232,3400613,0.3097
2020-06-09,HINDPETRO,EQ,216.45,218.3,221.85,209.0,211.75,211.65,214.49,5612715,120385420015000.02,45521,2135559,0.3805
2020-06-10,HINDPETRO,EQ,211.65,213.75,214.25,206.2,209.25,207.85,208.86,3951428,82530190980000.0,52110,1288065,0.326
2020-06-11,HINDPETRO,EQ,207.85,208.85,218.5,199.35,205.85,205.25,210.39,7969263,167664393745000.0,68533,1575788,0.1977
2020-06-12,HINDPETRO,EQ,205.25,200.1,213.7,199.55,212.0,210.85,208.65,10228514,213419435040000.0,72020,2436315,0.2382
2020-06-15,HINDPETRO,EQ,210.85,208.85,212.1,204.35,207.35,206.7,207.52,4966505,103064919975000.0,58658,1278544,0.25739999999999996
2020-06-16,HINDPETRO,EQ,206.7,211.0,214.8,206.2,210.25,209.8,210.58,8764866,184571302195000.0,58612,2749921,0.31370000000000003
2020-06-17,HINDPETRO,EQ,209.8,205.0,218.8,204.8,213.95,214.1,214.57,17532052,376180620740000.0,122798,3394341,0.1936
2020-06-18,HINDPETRO,EQ,214.1,214.25,224.5,213.5,222.5,222.9,220.63,10040531,221520758265000.0,91898,3484172,0.34700000000000003
2020-06-19,HINDPETRO,EQ,222.9,222.5,225.9,219.1,223.75,223.65,223.07,10683834,238322742205000.03,117038,4525163,0.4236
2020-06-22,HINDPETRO,EQ,223.65,225.95,241.0,224.35,237.1,238.6,233.08,15958062,371949152095000.0,130596,6929008,0.43420000000000003
2020-06-23,HINDPETRO,EQ,238.6,239.0,242.1,233.1,236.75,237.6,238.52,7666507,182863087325000.0,66618,1227273,0.36479999999999996
2020-06-24,HINDPETRO,EQ,237.6,238.0,239.0,226.6,227.8,228.4,232.41,5728972,133146359665000.02,55932,1959921,0.3421
2020-06-25,HINDPETRO,EQ,228.4,228.45,231.9,220.85,222.55,221.85,225.68,6414175,144757969660000.0,49522,2195219,0.3422
2020-06-26,HINDPETRO,EQ,221.85,226.95,235.85,224.55,232.0,231.25,231.05,7441061,171925568115000.0,67511,1872151,0.2516
2020-06-29,HINDPETRO,EQ,231.25,227.7,230.95,220.5,224.45,225.2,224.13,6332720,141934936195000.0,54820,2706906,0.4274
2020-06-30,HINDPETRO,EQ,225.2,227.1,228.95,216.1,217.15,216.75,220.53,7808410,172202629155000.0,50831,4907375,0.6285000000000001
2020-07-01,HINDPETRO,EQ,216.75,218.2,223.2,214.5,222.65,222.35,218.36,9283957,202726336490000.0,70873,3915056,0.4217
2020-07-02,HINDPETRO,EQ,222.35,216.25,219.25,214.1,215.55,215.15,216.59,8637516,187081009080000.0,60579,2551368,0.2954
2020-07-03,HINDPETRO,EQ,215.15,217.5,217.8,213.0,215.7,215.85,215.62,3984647,85916669750000.0,26929,901860,0.2263
2020-07-06,HINDPETRO,EQ,215.85,217.75,220.55,213.75,215.3,215.6,217.34,6810392,148020138425000.0,41545,2500241,0.36710000000000004
2020-07-07,HINDPETRO,EQ,215.6,215.9,216.25,210.7,211.0,211.15,212.22,5056605,107308834695000.0,51261,1770192,0.35009999999999997
2020-07-08,HINDPETRO,EQ,211.15,211.15,215.8,210.35,211.25,211.8,212.94,4490583,95623614690000.0,41390,1011013,0.22510000000000002
2020-07-09,HINDPETRO,EQ,211.8,211.8,213.8,204.8,205.0,205.35,207.06,7921968,164033116405000.0,44596,5197381,0.6561
2020-07-10,HINDPETRO,EQ,205.35,205.0,211.0,204.05,209.5,209.9,207.54,7668893,159162875185000.0,71289,2355467,0.30710000000000004
2020-07-13,HINDPETRO,EQ,209.9,210.05,214.95,209.2,211.35,210.8,212.1,6509815,138075190095000.0,52200,1613277,0.24780000000000002
2020-07-14,HINDPETRO,EQ,210.8,211.5,214.5,209.5,210.1,210.45,211.68,5323179,112681650630000.0,39511,1431047,0.2688
2020-07-15,HINDPETRO,EQ,210.45,213.0,213.4,201.6,203.0,202.65,207.69,4995500,103752750475000.0,38777,1476920,0.2957
2020-07-16,HINDPETRO,EQ,202.65,204.35,211.8,200.5,210.1,209.8,206.9,7195873,148885925450000.0,60849,1593291,0.2214
2020-07-17,HINDPETRO,EQ,209.8,210.5,227.2,210.1,224.0,224.0,221.23,23332764,516193532345000.0,163017,7203825,0.30870000000000003
2020-07-20,HINDPETRO,EQ,224.0,224.0,229.5,223.05,226.25,227.1,227.12,8375851,190231735060000.0,72302,2838908,0.33890000000000003
2020-07-21,HINDPETRO,EQ,227.1,227.2,238.0,222.6,234.05,234.25,233.56,16536134,386211350340000.0,158935,4428385,0.26780000000000004
2020-07-22,HINDPETRO,EQ,234.25,236.4,236.4,225.25,227.75,228.2,230.9,6695413,154596208060000.0,52282,1721778,0.2572
