Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-04,FEDERALBNK,EQ,109.8,109.8,110.2,108.45,108.6,108.85,109.33,6318349,69075958075000.0,28254,2287255,0.36200000000000004
2019-07-05,FEDERALBNK,EQ,108.85,109.45,109.7,107.0,107.05,107.35,108.29,7455559,80733329275000.0,30629,2790449,0.3743
2019-07-08,FEDERALBNK,EQ,107.35,106.5,106.8,104.15,105.25,105.1,105.26,6127600,64499054950000.0,22796,2125819,0.3469
2019-07-09,FEDERALBNK,EQ,105.1,104.9,107.25,103.55,106.9,106.75,105.38,6971536,73464417725000.0,28113,2367109,0.3395
2019-07-10,FEDERALBNK,EQ,106.75,106.7,107.85,104.9,105.35,105.3,106.51,8044545,85682255365000.0,30778,3638599,0.4523
2019-07-11,FEDERALBNK,EQ,105.3,105.7,106.1,104.5,104.95,104.85,105.03,6085217,63913634010000.0,21421,2830395,0.4651
2019-07-12,FEDERALBNK,EQ,104.85,104.8,106.9,104.6,106.3,106.25,106.06,6183496,65584608854999.99,30442,2185298,0.35340000000000005
2019-07-15,FEDERALBNK,EQ,106.25,106.8,107.15,103.4,107.15,106.7,105.37,7340517,77347277775000.0,24130,1963237,0.2675
2019-07-16,FEDERALBNK,EQ,106.7,107.85,108.8,101.8,105.45,107.2,105.83,42945090,454498154180000.0,130476,8852503,0.2061
2019-07-17,FEDERALBNK,EQ,107.2,106.75,106.75,102.0,103.1,103.15,103.49,26404194,273244893944999.97,100640,8740336,0.331
2019-07-18,FEDERALBNK,EQ,103.15,103.1,103.35,98.8,99.0,99.15,100.71,15869467,159820008960000.0,60406,5091734,0.3209
2019-07-19,FEDERALBNK,EQ,99.15,99.95,99.95,98.3,98.8,98.8,99.0,13106559,129748821975000.0,50948,4201626,0.32060000000000005
2019-07-22,FEDERALBNK,EQ,98.8,98.8,98.8,94.6,95.35,95.6,96.02,19164127,184023203805000.0,53121,7376616,0.3849
2019-07-23,FEDERALBNK,EQ,95.6,95.95,96.75,93.6,94.35,94.15,95.0,11173894,106154888590000.0,45589,4539477,0.40630000000000005
2019-07-24,FEDERALBNK,EQ,94.15,94.4,95.15,92.8,92.85,93.05,93.67,8180993,76631827930000.0,39411,3616119,0.44200000000000006
2019-07-25,FEDERALBNK,EQ,93.05,93.0,93.65,91.65,92.9,92.45,92.69,11364230,105332258835000.0,33297,4501124,0.3961
2019-07-26,FEDERALBNK,EQ,92.45,92.85,95.8,92.25,95.45,95.3,93.92,11115786,104397153890000.0,29040,3881810,0.3492
2019-07-29,FEDERALBNK,EQ,95.3,95.75,95.9,93.1,93.45,93.55,94.08,8366820,78712397660000.0,27226,3160876,0.3778
2019-07-30,FEDERALBNK,EQ,93.55,93.7,95.0,90.1,90.55,90.6,92.91,10533782,97872429560000.0,30822,3216922,0.3054
2019-07-31,FEDERALBNK,EQ,90.6,90.0,92.75,89.2,92.4,92.4,91.8,11689874,107316942255000.0,35151,6109595,0.5226
2019-08-01,FEDERALBNK,EQ,92.4,91.9,91.95,87.75,89.45,89.5,90.01,13254721,119308604805000.0,48217,5979317,0.4511
2019-08-02,FEDERALBNK,EQ,89.5,89.35,90.3,86.9,87.5,87.3,88.82,13560591,120438753675000.0,30710,5456893,0.40240000000000004
2019-08-05,FEDERALBNK,EQ,87.3,86.9,89.15,85.0,87.2,87.4,87.09,14302691,124564043545000.0,35197,4170325,0.2916
2019-08-06,FEDERALBNK,EQ,87.4,87.0,88.8,86.75,88.2,88.15,88.02,9389820,82647349090000.0,59832,3461260,0.3686
2019-08-07,FEDERALBNK,EQ,88.15,88.15,89.25,86.5,86.55,86.8,88.24,9260483,81714697870000.0,55665,4128372,0.4458
2019-08-08,FEDERALBNK,EQ,86.8,87.2,88.0,85.25,87.7,87.3,86.36,12729824,109937882555000.0,50899,5656013,0.44430000000000003
2019-08-09,FEDERALBNK,EQ,87.3,88.35,90.3,87.1,87.9,87.9,88.67,11961334,106055345800000.0,52076,3520861,0.2944
2019-08-13,FEDERALBNK,EQ,87.9,88.45,88.45,83.0,83.3,83.3,84.77,13248595,112313858415000.02,53546,5097477,0.3848
2019-08-14,FEDERALBNK,EQ,83.3,83.6,86.5,83.6,84.45,84.5,85.07,11654804,99152986165000.0,40455,4042115,0.3468
2019-08-16,FEDERALBNK,EQ,84.5,84.5,85.6,83.65,85.5,85.3,84.8,4898875,41544158695000.0,23756,965930,0.1972
2019-08-19,FEDERALBNK,EQ,85.3,86.2,86.5,84.9,85.75,85.7,85.69,5618832,48148076705000.0,20680,1912047,0.3403
2019-08-20,FEDERALBNK,EQ,85.7,85.7,85.7,83.6,84.75,84.75,84.35,5384367,45418097925000.0,20541,1240365,0.2304
2019-08-21,FEDERALBNK,EQ,84.75,85.0,85.05,81.85,82.15,82.2,83.11,7378040,61317983290000.0,26455,2846146,0.3858
2019-08-22,FEDERALBNK,EQ,82.2,82.0,82.5,79.8,80.7,80.4,81.56,9099476,74212804935000.0,29890,4898002,0.5383
2019-08-23,FEDERALBNK,EQ,80.4,80.4,82.75,79.15,81.15,80.7,80.93,17420302,140984803145000.0,32664,9323917,0.5352
2019-08-26,FEDERALBNK,EQ,80.7,83.0,84.0,79.6,83.25,83.0,81.23,24402869,198220211300000.0,42473,11714862,0.48009999999999997
2019-08-27,FEDERALBNK,EQ,83.0,84.65,85.7,83.65,84.5,84.05,84.37,14514693,122457299015000.02,37159,6164526,0.4247
2019-08-28,FEDERALBNK,EQ,84.05,84.5,85.25,81.5,81.8,81.85,82.79,12416532,102801075040000.0,34310,6470035,0.5211
2019-08-29,FEDERALBNK,EQ,81.85,81.8,81.8,79.25,80.65,80.4,80.25,16278747,130629996700000.0,44829,8125503,0.4991
2019-08-30,FEDERALBNK,EQ,80.4,80.95,83.35,80.15,82.85,82.9,81.79,11922234,97510119110000.0,35174,4854024,0.4071
2019-09-03,FEDERALBNK,EQ,82.9,82.35,82.35,79.75,80.75,81.4,81.13,10941875,88767072670000.0,36591,3628797,0.33159999999999995
2019-09-04,FEDERALBNK,EQ,81.4,80.9,82.45,80.0,81.75,81.95,81.28,8433799,68553054800000.0,22195,2146336,0.2545
2019-09-05,FEDERALBNK,EQ,81.95,82.0,82.9,80.5,81.15,81.0,81.31,9040596,73511542415000.0,47722,3294869,0.36450000000000005
2019-09-06,FEDERALBNK,EQ,81.0,81.95,83.4,80.9,83.3,83.15,82.14,7914489,65012090070000.01,24154,2711305,0.34259999999999996
2019-09-09,FEDERALBNK,EQ,83.15,83.0,86.6,82.35,86.4,86.25,85.29,15428797,131599273525000.0,49011,4732185,0.30670000000000003
2019-09-11,FEDERALBNK,EQ,86.25,86.4,86.75,84.8,85.5,85.7,85.75,9284318,79611276995000.0,35717,3455715,0.3722
2019-09-12,FEDERALBNK,EQ,85.7,85.7,87.55,85.5,85.5,85.75,86.35,8941455,77205649385000.0,26814,2008755,0.22469999999999998
2019-09-13,FEDERALBNK,EQ,85.75,85.95,87.65,84.55,87.25,87.15,86.05,9500240,81746920770000.0,32170,1564950,0.16469999999999999
2019-09-16,FEDERALBNK,EQ,87.15,86.45,86.9,85.1,85.3,85.5,85.72,7834803,67158897840000.0,31562,2053001,0.262
2019-09-17,FEDERALBNK,EQ,85.5,85.4,86.2,83.4,83.65,83.75,84.5,6460883,54593281495000.01,25934,2558836,0.3961
2019-09-18,FEDERALBNK,EQ,83.75,84.3,85.5,83.8,84.7,84.55,84.6,6520586,55166802740000.0,17593,1113651,0.17079999999999998
2019-09-19,FEDERALBNK,EQ,84.55,84.5,84.9,82.55,83.75,83.45,83.69,5326008,44574220125000.0,16943,1212443,0.22760000000000002
2019-09-20,FEDERALBNK,EQ,83.45,84.05,95.7,83.1,95.0,94.8,91.09,31665642,288448060645000.0,75647,12160500,0.384
2019-09-23,FEDERALBNK,EQ,94.8,95.85,98.55,91.5,95.2,95.9,95.18,31603154,300806361530000.0,93942,11285345,0.35710000000000003
2019-09-24,FEDERALBNK,EQ,95.9,96.1,97.2,93.8,94.15,94.3,95.35,9230752,88018711390000.0,28409,1503604,0.1629
2019-09-25,FEDERALBNK,EQ,94.3,93.1,94.25,91.6,91.95,92.1,92.65,8348656,77348725035000.0,36717,2547280,0.30510000000000004
2019-09-26,FEDERALBNK,EQ,92.1,92.5,95.0,92.0,94.0,93.6,93.44,14489649,135392162780000.0,71885,4327965,0.2987
2019-09-27,FEDERALBNK,EQ,93.6,93.95,95.5,92.3,93.8,93.6,93.93,10815034,101582689540000.0,48559,2889174,0.2671
2019-09-30,FEDERALBNK,EQ,93.6,93.8,94.0,89.25,91.0,90.4,90.96,17693994,160951288720000.0,49957,2711868,0.1533
2019-10-01,FEDERALBNK,EQ,90.4,91.0,93.25,80.0,88.1,87.75,87.81,20529595,180278773655000.0,54041,4266322,0.2078
2019-10-03,FEDERALBNK,EQ,87.75,87.45,89.55,85.4,89.3,88.8,87.9,10668940,93784905560000.0,36547,2074895,0.1945
2019-10-04,FEDERALBNK,EQ,88.8,89.35,89.7,84.35,85.6,85.75,86.27,15297600,131978010384999.98,50776,4706978,0.30770000000000003
2019-10-07,FEDERALBNK,EQ,85.75,85.8,86.0,83.8,85.0,84.9,84.88,12809772,108726617055000.0,37620,6851038,0.5347999999999999
2019-10-09,FEDERALBNK,EQ,84.9,85.25,86.45,84.0,85.85,85.9,85.49,12713788,108692981805000.0,31848,6561192,0.5161
2019-10-10,FEDERALBNK,EQ,85.9,85.8,85.8,83.4,84.25,84.3,84.45,6218988,52517520435000.0,35119,1830842,0.2944
2019-10-11,FEDERALBNK,EQ,84.3,84.85,85.45,83.4,84.0,84.15,84.5,12880443,108841469430000.0,30801,2755304,0.2139
2019-10-14,FEDERALBNK,EQ,84.15,84.9,85.25,82.25,82.45,83.25,84.33,7823663,65976337425000.0,25756,1712213,0.2189
2019-10-15,FEDERALBNK,EQ,83.25,82.55,85.9,81.7,85.45,84.95,83.71,9662559,80888399365000.0,37154,1926759,0.19940000000000002
2019-10-16,FEDERALBNK,EQ,84.95,86.0,86.85,79.0,82.3,82.25,82.26,69563240,572233803815000.0,146799,20779181,0.2987
2019-10-17,FEDERALBNK,EQ,82.25,82.3,84.9,81.7,84.1,84.35,83.52,23933766,199898690015000.0,73579,5238284,0.2189
2019-10-18,FEDERALBNK,EQ,84.35,84.35,84.8,83.5,83.85,84.0,84.19,11094728,93405174145000.0,42811,3440643,0.31010000000000004
2019-10-22,FEDERALBNK,EQ,84.0,84.5,84.95,83.15,83.65,83.55,84.18,12037083,101330373840000.0,45206,4266923,0.35450000000000004
2019-10-23,FEDERALBNK,EQ,83.55,83.6,84.5,82.8,83.25,83.3,83.77,12081585,101208519650000.0,28040,3291395,0.2724
2019-10-24,FEDERALBNK,EQ,83.3,83.45,83.9,80.35,81.05,81.0,81.43,21751109,177118932995000.0,53493,10475602,0.4816
2019-10-25,FEDERALBNK,EQ,81.0,81.0,81.4,79.7,80.15,80.25,80.3,15135361,121535627884999.98,40843,6423376,0.4244
2019-10-27,FEDERALBNK,EQ,80.25,81.25,81.75,80.6,80.85,80.85,80.96,1799905,14572754350000.0,11423,1034279,0.5746
2019-10-29,FEDERALBNK,EQ,80.85,81.35,82.6,80.65,82.2,82.1,82.01,20074360,164627084590000.0,32841,12346753,0.6151
2019-10-30,FEDERALBNK,EQ,82.1,82.45,82.85,81.75,82.0,82.05,82.37,9109830,75040358905000.0,23371,4481315,0.4919
2019-10-31,FEDERALBNK,EQ,82.05,82.45,85.2,81.95,83.85,83.8,83.21,25192218,209634596210000.0,56024,12217294,0.485
2019-11-01,FEDERALBNK,EQ,83.8,84.1,86.45,83.4,86.1,86.05,85.2,25498852,217257563835000.0,56412,10690772,0.4193
2019-11-04,FEDERALBNK,EQ,86.05,86.5,89.25,86.5,88.3,88.4,88.23,23388136,206346359635000.0,71520,10217962,0.4369
2019-11-05,FEDERALBNK,EQ,88.4,88.85,88.85,84.15,84.5,84.4,85.81,19085828,163778787740000.0,55988,8122551,0.42560000000000003
2019-11-06,FEDERALBNK,EQ,84.4,84.6,86.0,83.5,84.3,84.5,84.78,15554318,131869131625000.0,35500,6559267,0.4217
2019-11-07,FEDERALBNK,EQ,84.5,84.9,85.45,83.5,84.0,83.95,84.13,10363401,87191014670000.0,38222,3507573,0.3385
2019-11-08,FEDERALBNK,EQ,83.95,83.95,83.95,81.9,82.25,82.15,83.01,9558248,79347150375000.0,37273,3204211,0.33520000000000005
2019-11-11,FEDERALBNK,EQ,82.15,82.0,83.65,81.4,83.3,83.15,82.89,9092063,75367498460000.0,37355,2562576,0.2818
2019-11-13,FEDERALBNK,EQ,83.15,83.1,83.85,82.3,82.5,82.55,83.08,7169868,59564940604999.99,28072,2429063,0.33880000000000005
2019-11-14,FEDERALBNK,EQ,82.55,82.5,85.2,82.25,84.35,84.5,83.6,11720303,97986942830000.0,34463,3800460,0.3243
2019-11-15,FEDERALBNK,EQ,84.5,84.5,85.4,82.9,84.15,84.3,84.13,13130961,110469297565000.02,40854,4101200,0.3123
2019-11-18,FEDERALBNK,EQ,84.3,84.45,87.4,84.3,87.05,86.9,86.34,13252237,114413461305000.0,64917,4373063,0.33
2019-11-19,FEDERALBNK,EQ,86.9,86.9,88.75,86.1,88.0,87.85,87.49,9710235,84956347215000.0,30062,2102502,0.2165
2019-11-20,FEDERALBNK,EQ,87.85,88.3,89.6,87.25,88.7,88.65,88.53,17132882,151678413115000.0,51440,6028206,0.3519
2019-11-21,FEDERALBNK,EQ,88.65,88.5,89.4,87.4,87.75,87.85,88.41,9720943,85942084045000.0,27973,3342709,0.34390000000000004
2019-11-22,FEDERALBNK,EQ,87.85,88.3,88.6,87.3,87.85,87.8,87.88,7216267,63414581910000.0,20754,1207027,0.1673
2019-11-25,FEDERALBNK,EQ,87.8,87.8,89.9,87.6,89.35,89.5,89.25,10708667,95577612270000.0,39377,3179007,0.2969
2019-11-26,FEDERALBNK,EQ,89.5,90.0,92.1,87.05,87.35,87.65,89.67,18249759,163647131895000.0,54001,5889315,0.32270000000000004
2019-11-27,FEDERALBNK,EQ,87.65,87.9,88.4,86.05,87.6,87.45,87.25,8263672,72104248245000.0,29452,1831145,0.22160000000000002
2019-11-28,FEDERALBNK,EQ,87.45,88.0,91.3,87.75,90.8,90.9,89.84,18824318,169119640245000.0,53664,5138986,0.273
2019-11-29,FEDERALBNK,EQ,90.9,90.7,91.75,88.6,88.85,88.9,90.0,10912330,98209329990000.0,34640,2851591,0.2613
2019-12-02,FEDERALBNK,EQ,88.9,88.9,89.85,87.0,87.4,87.25,87.99,10016383,88138127370000.0,31404,3290135,0.3285
2019-12-03,FEDERALBNK,EQ,87.25,87.25,87.4,85.6,86.2,86.1,86.26,7159147,61758067440000.0,34518,2495276,0.34850000000000003
2019-12-04,FEDERALBNK,EQ,86.1,85.9,88.35,84.35,87.75,87.9,86.51,17203633,148827081840000.0,43670,4458084,0.2591
2019-12-05,FEDERALBNK,EQ,87.9,88.0,88.1,86.25,86.95,86.75,87.09,10295764,89661255065000.0,27086,3068578,0.298
2019-12-06,FEDERALBNK,EQ,86.75,87.0,87.5,83.5,84.05,84.15,85.6,9922640,84940945380000.0,35012,2824018,0.2846
2019-12-09,FEDERALBNK,EQ,84.15,84.05,85.3,83.05,84.25,84.25,84.44,7626176,64393075710000.0,30267,2450693,0.3214
2019-12-10,FEDERALBNK,EQ,84.25,84.35,85.25,83.0,83.6,83.6,84.08,8200669,68954406025000.0,30160,3056384,0.37270000000000003
2019-12-11,FEDERALBNK,EQ,83.6,84.0,84.9,83.3,84.1,84.15,84.14,5526191,46496398450000.0,18811,1421754,0.25730000000000003
2019-12-12,FEDERALBNK,EQ,84.15,84.8,85.75,84.4,85.15,85.3,85.13,7073603,60218320710000.0,23279,2481661,0.3508
2019-12-13,FEDERALBNK,EQ,85.3,85.5,87.7,85.4,87.0,86.95,86.71,12159138,105426665150000.0,28370,5426066,0.44630000000000003
2019-12-16,FEDERALBNK,EQ,86.95,87.1,87.2,85.35,86.1,86.0,86.14,5677081,48904225590000.0,19708,1324404,0.23329999999999998
2019-12-17,FEDERALBNK,EQ,86.0,87.0,87.25,85.65,85.95,85.95,86.33,7852652,67791616335000.0,23738,2788846,0.35509999999999997
2019-12-18,FEDERALBNK,EQ,85.95,86.25,86.8,85.25,86.0,86.0,85.92,6870094,59028432279999.99,23789,1997140,0.2907
2019-12-19,FEDERALBNK,EQ,86.0,86.0,87.0,85.55,86.8,86.7,86.37,4720092,40769255610000.0,16706,1815601,0.3847
2019-12-20,FEDERALBNK,EQ,86.7,86.7,88.15,86.6,87.3,87.5,87.4,5645352,49338480380000.0,21975,2154555,0.38170000000000004
2019-12-23,FEDERALBNK,EQ,87.5,87.35,87.35,85.5,85.8,85.9,86.27,5531385,47719168130000.0,20906,1833923,0.3315
2019-12-24,FEDERALBNK,EQ,85.9,86.0,86.5,85.5,85.65,85.65,85.99,3754033,32279480045000.0,10687,875886,0.23329999999999998
2019-12-26,FEDERALBNK,EQ,85.65,85.65,86.05,85.1,85.6,85.65,85.66,6960089,59617709810000.0,29664,2578633,0.3705
2019-12-27,FEDERALBNK,EQ,85.65,86.0,88.7,85.5,88.05,88.2,87.93,9880674,86882056490000.0,34393,3024809,0.3061
2019-12-30,FEDERALBNK,EQ,88.2,88.3,88.9,87.0,87.5,87.55,87.84,7194237,63196217400000.0,20397,2656666,0.3693
2019-12-31,FEDERALBNK,EQ,87.55,87.55,89.1,86.9,87.85,87.95,88.04,6598385,58090690590000.0,21393,2037722,0.3088
2020-01-01,FEDERALBNK,EQ,87.95,88.25,89.25,88.0,88.85,88.75,88.66,5890570,52223330205000.0,33326,1971963,0.3348
2020-01-02,FEDERALBNK,EQ,88.75,88.55,92.8,88.55,92.75,92.25,90.97,13253695,120566479330000.0,64431,4784111,0.36100000000000004
2020-01-03,FEDERALBNK,EQ,92.25,92.0,92.5,90.5,91.1,90.95,91.33,9418595,86018763680000.0,40792,3342544,0.35490000000000005
2020-01-06,FEDERALBNK,EQ,90.95,90.4,90.4,86.85,87.0,87.1,87.96,7308783,64289554525000.0,25687,2192137,0.2999
2020-01-07,FEDERALBNK,EQ,87.1,87.8,88.9,86.55,87.2,87.35,87.48,9285639,81230475965000.0,33041,3322048,0.3578
2020-01-08,FEDERALBNK,EQ,87.35,86.4,87.3,85.6,87.0,86.95,86.48,7490919,64782639410000.0,26090,2333123,0.3115
2020-01-09,FEDERALBNK,EQ,86.95,87.95,90.8,87.55,89.5,89.65,89.73,9989902,89643258405000.0,30242,2491820,0.2494
2020-01-10,FEDERALBNK,EQ,89.65,89.95,90.4,88.45,88.9,88.8,89.38,7931965,70898407985000.0,22737,3165775,0.39909999999999995
2020-01-13,FEDERALBNK,EQ,88.8,89.3,90.45,89.25,90.05,90.05,90.03,5987313,53903566170000.01,16773,2371677,0.3961
2020-01-14,FEDERALBNK,EQ,90.05,90.0,91.75,89.6,91.2,91.2,90.56,7918121,71704333430000.0,20570,1301630,0.16440000000000002
2020-01-15,FEDERALBNK,EQ,91.2,91.2,91.7,90.2,91.0,91.05,90.9,7347554,66789410310000.0,25341,1977130,0.2691
2020-01-16,FEDERALBNK,EQ,91.05,91.0,94.15,90.75,93.15,92.95,93.21,16683768,155503552565000.0,45874,4204755,0.252
2020-01-17,FEDERALBNK,EQ,92.95,92.7,93.4,91.4,91.7,91.6,92.19,7405150,68267629815000.0,24840,1329604,0.1796
2020-01-20,FEDERALBNK,EQ,91.6,92.4,94.5,88.05,93.95,93.75,91.57,43342551,396874268520000.0,121522,5437485,0.1255
2020-01-21,FEDERALBNK,EQ,93.75,94.0,96.4,93.5,94.65,94.6,94.85,30451633,288835592050000.0,75966,5082380,0.16690000000000002
2020-01-22,FEDERALBNK,EQ,94.6,95.15,95.65,93.3,93.7,93.75,94.37,13553520,127899161809999.98,38637,3709430,0.2737
2020-01-23,FEDERALBNK,EQ,93.75,93.5,95.9,93.3,94.55,94.5,94.94,11965127,113600283159999.98,47683,3619232,0.3025
2020-01-24,FEDERALBNK,EQ,94.5,94.5,96.95,94.2,96.4,96.0,96.03,9905227,95116588805000.0,36730,2712053,0.2738
2020-01-27,FEDERALBNK,EQ,96.0,96.0,96.85,94.65,95.85,95.65,95.98,8860848,85045546725000.0,29294,2987585,0.3372
2020-01-28,FEDERALBNK,EQ,95.65,95.85,96.25,94.65,95.4,95.3,95.45,5291973,50511929730000.0,16319,1082296,0.2045
2020-01-29,FEDERALBNK,EQ,95.3,95.9,96.35,94.55,94.65,94.85,95.51,6316781,60329989135000.0,24089,1543713,0.2444
2020-01-30,FEDERALBNK,EQ,94.85,94.7,94.8,91.1,92.75,93.0,93.35,8366185,78099275080000.0,33625,2745170,0.3281
2020-01-31,FEDERALBNK,EQ,93.0,93.7,93.8,90.8,91.55,91.35,92.08,10270614,94575349405000.0,28114,3138111,0.3055
2020-02-01,FEDERALBNK,EQ,91.35,91.2,91.95,87.3,88.3,88.25,89.89,6461277,58077846929999.99,23161,1560928,0.2416
2020-02-03,FEDERALBNK,EQ,88.25,88.35,89.8,87.05,88.55,88.4,88.57,8298640,73502378610000.0,22904,1834494,0.2211
2020-02-04,FEDERALBNK,EQ,88.4,89.1,90.3,87.75,89.85,89.75,89.11,10285159,91647664575000.0,22414,2544205,0.24739999999999998
2020-02-05,FEDERALBNK,EQ,89.75,90.25,91.0,89.2,90.85,90.85,90.1,7382599,66515087965000.0,18829,2469143,0.3345
