Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-02,COALINDIA,EQ,211.95,212.5,212.8,208.3,210.95,211.1,210.67,5958343,125521601740000.02,45875,1763059,0.2959
2020-01-03,COALINDIA,EQ,211.1,210.0,212.6,207.7,210.65,211.85,210.47,6452638,135809639970000.0,43299,2147545,0.33280000000000004
2020-01-06,COALINDIA,EQ,211.85,209.95,209.95,203.45,205.15,205.7,205.46,6853058,140803116125000.0,54913,2105530,0.3072
2020-01-07,COALINDIA,EQ,205.7,206.5,208.2,204.35,205.75,205.7,206.51,5243225,108276469415000.02,44407,2106932,0.4018
2020-01-08,COALINDIA,EQ,205.7,203.0,204.55,198.2,200.5,200.2,201.61,7295998,147092302275000.0,45845,2689056,0.3686
2020-01-09,COALINDIA,EQ,200.2,203.25,203.7,197.35,197.95,198.0,198.82,10321169,205210333365000.0,60490,5171986,0.5011
2020-01-10,COALINDIA,EQ,198.0,199.15,206.55,198.95,204.5,205.3,204.41,13533598,276645430925000.0,79389,3173348,0.2345
2020-01-13,COALINDIA,EQ,205.3,205.3,212.0,205.0,211.6,211.55,210.18,9863555,207310401690000.0,55913,2354932,0.23879999999999998
2020-01-14,COALINDIA,EQ,211.55,211.15,213.5,209.75,213.0,212.95,211.69,5417581,114682295425000.0,31792,2263579,0.4178
2020-01-15,COALINDIA,EQ,212.95,212.6,214.6,211.3,212.4,212.45,213.05,4863227,103610417350000.0,31945,2327746,0.4786
2020-01-16,COALINDIA,EQ,212.45,212.45,212.7,207.1,210.2,210.25,210.29,6937929,145898508590000.0,48580,3256575,0.4694
2020-01-17,COALINDIA,EQ,210.25,210.0,210.55,206.1,208.1,207.9,208.09,5985342,124549497525000.0,41319,2780997,0.4646
2020-01-20,COALINDIA,EQ,207.9,208.0,209.8,200.5,202.2,201.15,205.26,8110607,166480851820000.0,45643,3609084,0.445
2020-01-21,COALINDIA,EQ,201.15,201.15,205.25,201.15,202.35,202.15,203.65,6347967,129276907930000.0,43002,2130418,0.3356
2020-01-22,COALINDIA,EQ,202.15,199.1,199.4,190.95,191.55,191.9,193.98,19096395,370438820550000.0,105972,6580122,0.3446
2020-01-23,COALINDIA,EQ,191.9,192.05,195.2,189.85,191.4,190.75,192.07,16369722,314413059950000.0,71162,7414229,0.4529
2020-01-24,COALINDIA,EQ,190.75,193.0,196.3,192.15,194.4,193.95,194.19,10626281,206346617860000.0,63929,3410074,0.3209
2020-01-27,COALINDIA,EQ,193.95,193.95,195.0,192.0,193.0,193.35,193.65,7195361,139337760130000.0,33802,2333097,0.3243
2020-01-28,COALINDIA,EQ,193.35,193.9,194.25,188.4,189.5,189.15,190.07,10274562,195288952520000.0,55958,4139911,0.4029
2020-01-29,COALINDIA,EQ,189.15,191.0,193.0,188.0,191.1,191.05,191.53,10602818,203075299895000.0,60651,4098350,0.3865
2020-01-30,COALINDIA,EQ,191.05,191.4,192.35,187.5,188.2,187.95,189.81,10859103,206112286125000.0,55217,4171042,0.3841
2020-01-31,COALINDIA,EQ,187.95,188.8,189.45,180.0,183.55,181.7,183.4,35281395,647065902105000.0,146426,16786709,0.4758
2020-02-01,COALINDIA,EQ,181.7,182.0,182.0,171.05,174.3,173.5,176.95,23303943,412371768200000.0,122654,7486069,0.3212
2020-02-03,COALINDIA,EQ,173.5,174.9,179.45,172.15,178.9,178.65,177.27,15284598,270944565240000.0,92895,4862901,0.3182
2020-02-04,COALINDIA,EQ,178.65,180.75,183.0,179.75,182.7,182.5,181.62,10043759,182410129965000.0,61745,3871446,0.38549999999999995
2020-02-05,COALINDIA,EQ,182.5,184.0,184.0,178.5,179.8,179.25,180.7,9468632,171101152090000.0,55574,3206565,0.3387
2020-02-06,COALINDIA,EQ,179.25,180.2,181.6,178.25,179.7,179.95,179.76,6917941,124355349905000.0,54462,3277282,0.4737
2020-02-07,COALINDIA,EQ,179.95,180.3,186.05,178.1,184.95,185.05,181.6,13470302,244619617310000.0,71587,5587617,0.4148
2020-02-10,COALINDIA,EQ,185.05,184.9,185.0,177.65,178.85,178.85,179.85,19665611,353695592515000.0,96003,11152489,0.5671
2020-02-11,COALINDIA,EQ,178.85,180.0,181.5,176.25,179.4,179.35,178.68,16397703,293000983655000.0,82010,7271302,0.4434
2020-02-12,COALINDIA,EQ,179.35,181.0,183.4,178.2,180.3,180.3,180.35,14669421,264560711625000.0,83056,5596157,0.3815
2020-02-13,COALINDIA,EQ,180.3,180.3,180.95,175.85,178.0,177.8,177.63,11781999,209279902320000.0,65495,4769531,0.4048
2020-02-14,COALINDIA,EQ,177.8,178.0,178.9,174.2,174.5,174.75,175.77,15392705,270554637735000.0,93623,7014339,0.4557
2020-02-17,COALINDIA,EQ,174.75,174.75,175.2,166.8,168.1,167.85,169.14,15997350,270572474640000.0,97423,5844355,0.3653
2020-02-18,COALINDIA,EQ,167.85,168.1,173.95,165.0,172.75,171.85,168.55,27643844,465946695450000.0,91485,14752106,0.5336
2020-02-19,COALINDIA,EQ,171.85,176.35,178.55,174.25,177.8,177.75,176.61,21092109,372500957015000.0,113986,6129694,0.29059999999999997
2020-02-20,COALINDIA,EQ,177.75,177.75,180.25,175.2,179.1,179.35,177.62,16776977,297989547480000.0,88047,8983105,0.5354
2020-02-24,COALINDIA,EQ,179.35,178.75,178.9,173.3,174.15,174.85,175.38,9952676,174554460280000.0,60533,3972252,0.39909999999999995
2020-02-25,COALINDIA,EQ,174.85,176.1,178.7,174.2,175.6,175.1,176.75,13534936,239232167960000.0,59232,5523298,0.4081
2020-02-26,COALINDIA,EQ,175.1,174.2,177.75,172.65,173.7,173.8,175.28,10925243,191501127155000.0,77432,4142657,0.37920000000000004
2020-02-27,COALINDIA,EQ,173.8,173.75,174.55,169.6,173.9,174.1,172.28,11500515,198135277990000.0,60532,4533167,0.39420000000000005
2020-02-28,COALINDIA,EQ,174.1,171.55,171.8,166.75,167.75,168.4,169.17,14694382,248591229694999.97,105493,6484291,0.4413
2020-03-02,COALINDIA,EQ,168.4,172.65,175.0,168.3,169.4,169.35,172.55,11962711,206420143360000.0,63565,4782713,0.3998
2020-03-03,COALINDIA,EQ,169.35,171.35,179.65,170.9,177.5,178.2,174.83,17015816,297480510635000.0,73868,8702955,0.5115
2020-03-04,COALINDIA,EQ,178.2,178.25,179.8,174.1,177.95,178.1,177.37,9858330,174857014710000.0,78436,2622862,0.2661
2020-03-05,COALINDIA,EQ,178.1,180.0,180.2,172.2,176.65,177.15,175.97,12349902,217326325585000.0,61821,2902240,0.23500000000000001
2020-03-06,COALINDIA,EQ,177.15,166.7,173.0,166.5,169.0,168.75,170.06,10629291,180764258155000.0,71770,4162213,0.39159999999999995
2020-03-09,COALINDIA,EQ,168.75,165.8,166.7,156.95,157.65,157.95,161.87,23967961,387967459245000.0,101385,13590537,0.5670000000000001
2020-03-11,COALINDIA,EQ,157.95,158.1,169.9,157.05,166.7,168.0,164.13,28399809,466123621075000.0,148710,9434271,0.3322
2020-03-12,COALINDIA,EQ,168.0,161.0,163.0,150.1,156.75,154.55,155.35,33250978,516554703930000.0,206701,15512094,0.46649999999999997
2020-03-13,COALINDIA,EQ,154.55,146.25,161.55,123.65,155.35,154.1,152.68,43328031,661528885605000.0,175752,19682165,0.4543
2020-03-16,COALINDIA,EQ,154.1,150.95,151.35,143.1,144.55,143.9,147.18,23548327,346583120800000.0,92209,10320947,0.43829999999999997
2020-03-17,COALINDIA,EQ,143.9,145.2,155.4,142.3,147.25,145.9,150.1,18990185,285038283490000.0,108984,6909482,0.3638
2020-03-18,COALINDIA,EQ,145.9,151.6,151.85,143.0,144.5,145.05,146.25,18744151,274130358505000.03,99549,8195345,0.4372
2020-03-19,COALINDIA,EQ,145.05,128.0,133.5,122.0,122.55,123.55,128.67,28555217,367424665570000.0,184801,11761737,0.4119
2020-03-20,COALINDIA,EQ,123.55,124.5,135.8,122.65,132.4,132.8,129.47,24023065,311026394330000.0,104020,9537271,0.397
2020-03-23,COALINDIA,EQ,132.8,122.5,134.85,120.05,127.55,127.85,129.07,17885210,230839942950000.0,94097,10549335,0.5898
2020-03-24,COALINDIA,EQ,127.85,129.25,135.0,125.45,129.0,127.85,130.27,9991429,130157356945000.0,62450,3193288,0.3196
2020-03-25,COALINDIA,EQ,127.85,126.0,129.25,123.7,124.25,124.5,125.35,8344561,104597483265000.0,59668,3647405,0.43710000000000004
2020-03-26,COALINDIA,EQ,124.5,126.0,127.0,119.2,123.9,123.25,123.09,28364155,349145480270000.0,153911,18236069,0.6429
2020-03-27,COALINDIA,EQ,123.25,125.9,132.95,125.0,131.15,131.7,129.23,18334750,236946129775000.0,116521,7032558,0.3836
2020-03-30,COALINDIA,EQ,131.7,127.55,134.75,127.2,133.15,133.15,132.01,12357416,163125311680000.0,91151,4423231,0.3579
2020-03-31,COALINDIA,EQ,133.15,135.1,142.35,134.25,139.8,140.05,139.07,14997627,208576878440000.0,89569,5404833,0.3604
2020-04-01,COALINDIA,EQ,140.05,138.75,141.25,137.05,139.7,139.45,139.45,8833033,123175081180000.0,62281,3778342,0.4278
2020-04-03,COALINDIA,EQ,139.45,138.6,139.9,131.8,137.75,137.75,136.15,10937172,148912752260000.0,105935,3450581,0.3155
2020-04-07,COALINDIA,EQ,137.75,140.3,142.4,137.15,139.65,140.15,140.28,8205546,115108409834999.98,54857,3024110,0.3685
2020-04-08,COALINDIA,EQ,140.15,140.0,143.4,137.0,137.55,137.35,139.88,7070296,98900912495000.0,55896,2149083,0.304
2020-04-09,COALINDIA,EQ,137.35,139.2,141.45,138.0,140.7,140.8,140.19,5078557,71195675790000.0,36981,1298635,0.2557
2020-04-13,COALINDIA,EQ,140.8,140.8,146.7,138.35,145.8,145.9,144.12,10691857,154094404130000.0,57290,2698824,0.2524
2020-04-15,COALINDIA,EQ,145.9,147.4,151.6,146.0,146.5,146.85,148.91,10487978,156177456460000.0,85581,3419783,0.3261
2020-04-16,COALINDIA,EQ,146.85,144.6,150.5,144.4,147.35,147.4,148.5,9736874,144593813460000.0,65846,3875381,0.39799999999999996
2020-04-17,COALINDIA,EQ,147.4,151.5,152.45,148.3,148.75,148.75,149.79,7094930,106274330725000.0,49937,2138681,0.3014
2020-04-20,COALINDIA,EQ,148.75,149.9,149.9,143.0,144.2,144.2,145.98,7139690,104228417670000.0,61760,2011348,0.2817
2020-04-21,COALINDIA,EQ,144.2,141.0,141.6,137.8,140.3,139.0,139.35,6501383,90597775615000.0,50407,2743784,0.42200000000000004
2020-04-22,COALINDIA,EQ,139.0,138.2,141.3,135.0,141.0,140.7,138.36,5604353,77541321740000.0,54723,1495981,0.2669
2020-04-23,COALINDIA,EQ,140.7,140.8,144.75,140.1,140.9,140.9,142.33,7553387,107506224325000.0,57402,3277991,0.434
2020-04-24,COALINDIA,EQ,140.9,140.6,143.8,135.8,137.25,137.0,140.11,11701225,163947224820000.0,74521,5377305,0.4596
2020-04-27,COALINDIA,EQ,137.0,139.0,139.7,137.5,138.2,138.1,138.39,4238903,58662942120000.01,33953,1522577,0.3592
2020-04-28,COALINDIA,EQ,138.1,138.6,139.55,134.45,135.35,135.4,136.52,7064485,96442096030000.0,58250,3794832,0.5372
2020-04-29,COALINDIA,EQ,135.4,135.5,140.85,135.35,140.0,139.85,138.89,7399371,102769138025000.0,57807,2503769,0.33840000000000003
2020-04-30,COALINDIA,EQ,139.85,141.5,149.45,141.35,148.8,148.5,145.94,13146077,191849422710000.0,103971,6570356,0.49979999999999997
2020-05-04,COALINDIA,EQ,148.5,144.7,144.7,140.35,142.15,142.3,142.63,8356131,119184523100000.0,58591,3884787,0.46490000000000004
2020-05-05,COALINDIA,EQ,142.3,143.9,147.25,137.35,138.5,138.0,142.13,11879416,168842982255000.0,73467,4531433,0.3815
2020-05-06,COALINDIA,EQ,138.0,139.35,139.35,133.15,134.0,133.75,134.84,10427899,140612678350000.0,77869,3236233,0.3103
2020-05-07,COALINDIA,EQ,133.75,130.0,133.0,130.0,131.0,130.8,131.56,10860354,142877043400000.0,75808,4052134,0.37310000000000004
2020-05-08,COALINDIA,EQ,130.8,132.85,133.2,128.55,129.0,129.0,130.32,7097561,92497512395000.0,56783,2846229,0.401
2020-05-11,COALINDIA,EQ,129.0,130.15,131.05,128.05,128.25,128.45,129.31,6657861,86091511980000.0,59311,2504185,0.3761
2020-05-12,COALINDIA,EQ,128.45,128.2,129.05,125.3,127.0,126.85,126.76,8128532,103039500935000.0,67381,3907157,0.4807
2020-05-13,COALINDIA,EQ,126.85,132.5,132.5,128.5,131.0,130.6,130.69,11135899,145537336340000.0,87482,5376356,0.4828
2020-05-14,COALINDIA,EQ,130.6,129.85,131.45,128.05,128.95,128.65,129.27,5663229,73206645940000.0,48845,1979804,0.3496
2020-05-15,COALINDIA,EQ,128.65,129.7,130.85,127.75,129.4,129.6,129.57,6296866,81585526495000.0,48958,1808288,0.2872
2020-05-18,COALINDIA,EQ,129.6,127.0,127.0,121.05,121.8,121.7,123.23,24334222,299864415360000.0,167369,7997000,0.3286
2020-05-19,COALINDIA,EQ,121.7,123.1,124.15,121.8,123.65,123.6,123.22,9537937,117530050345000.0,70856,3779678,0.39630000000000004
2020-05-20,COALINDIA,EQ,123.6,123.0,125.15,121.85,123.4,123.25,123.51,8087994,99892007755000.0,83321,3704760,0.4581
2020-05-21,COALINDIA,EQ,123.25,123.9,126.25,122.8,124.8,124.5,124.68,6187533,77144588925000.0,42468,1940389,0.3136
2020-05-22,COALINDIA,EQ,124.5,124.0,126.05,121.9,125.5,125.2,124.27,7129073,88593359140000.0,50794,2289302,0.3211
2020-05-26,COALINDIA,EQ,125.2,125.85,128.0,125.0,127.3,127.25,126.68,6183000,78323234505000.0,43527,2509769,0.40590000000000004
2020-05-27,COALINDIA,EQ,127.25,127.25,131.35,126.0,130.5,130.8,128.98,6084266,78474047440000.0,53996,2012812,0.3308
2020-05-28,COALINDIA,EQ,130.8,130.85,134.3,129.3,133.6,133.9,133.07,7883181,104902622820000.0,52289,3126845,0.39659999999999995
2020-05-29,COALINDIA,EQ,133.9,133.5,142.45,132.25,140.65,141.3,138.64,16208002,224704436555000.03,93501,6655822,0.4107
2020-06-01,COALINDIA,EQ,141.3,142.1,149.75,141.55,147.65,148.55,145.86,21205031,309294551975000.0,99115,9675369,0.45630000000000004
2020-06-02,COALINDIA,EQ,148.55,149.15,149.15,143.0,143.65,143.4,144.15,16680118,240438024750000.0,125175,4900534,0.2938
2020-06-03,COALINDIA,EQ,143.4,145.0,145.1,141.1,141.3,141.7,142.79,11561360,165088937725000.0,81683,4514936,0.39049999999999996
2020-06-04,COALINDIA,EQ,141.7,141.0,142.6,139.35,140.6,140.25,140.56,6295322,88486880700000.0,47936,1678756,0.26670000000000005
2020-06-05,COALINDIA,EQ,140.25,141.0,145.75,140.5,145.4,144.85,143.7,11872638,170612889090000.0,76530,4836338,0.40740000000000004
2020-06-08,COALINDIA,EQ,144.85,148.0,148.95,144.75,146.85,146.7,147.03,11258936,165535463185000.0,74920,3785371,0.3362
2020-06-09,COALINDIA,EQ,146.7,147.95,147.95,143.65,144.2,144.3,145.06,6957097,100917086555000.0,50309,1863336,0.26780000000000004
2020-06-10,COALINDIA,EQ,144.3,144.0,144.75,140.2,140.85,140.7,141.91,8915113,126517463384999.98,58961,3517808,0.3946
2020-06-11,COALINDIA,EQ,140.7,140.85,142.9,137.5,137.9,137.7,140.22,9259409,129838451359999.98,66927,2652215,0.2864
2020-06-12,COALINDIA,EQ,137.7,133.1,135.55,132.7,134.7,134.65,134.3,8425506,113150586405000.0,71487,2962171,0.35159999999999997
2020-06-15,COALINDIA,EQ,134.65,134.7,135.0,130.5,132.35,132.1,132.41,8217883,108809383945000.0,54843,2785520,0.33899999999999997
2020-06-16,COALINDIA,EQ,132.1,134.5,135.0,129.55,131.35,131.15,131.86,7130557,94026182580000.0,46869,2729722,0.38280000000000003
2020-06-17,COALINDIA,EQ,131.15,131.15,133.9,129.1,129.45,129.45,131.14,9072521,118977066975000.0,57866,3698291,0.40759999999999996
2020-06-18,COALINDIA,EQ,129.45,129.0,139.7,128.15,137.65,137.6,135.98,34587382,470323123150000.0,173947,5392585,0.1559
2020-06-19,COALINDIA,EQ,137.6,140.0,140.0,135.2,137.0,137.25,136.92,17468342,239179137440000.0,88714,5328926,0.30510000000000004
2020-06-22,COALINDIA,EQ,137.25,137.25,143.95,137.1,143.7,143.65,141.75,19716497,279479590780000.03,95804,7891260,0.40020000000000006
2020-06-23,COALINDIA,EQ,143.65,144.95,146.75,143.2,144.1,143.85,144.87,10955603,158714984140000.0,63587,2152190,0.4157
2020-06-24,COALINDIA,EQ,143.85,145.7,146.45,140.75,141.85,141.55,142.81,10639900,151951761460000.0,62216,2991754,0.2812
2020-06-25,COALINDIA,EQ,141.55,140.35,143.65,138.35,139.2,140.4,140.56,33546613,471536261814999.94,107189,15656332,0.4667
2020-06-26,COALINDIA,EQ,140.4,140.9,143.0,139.6,142.1,142.1,142.02,8096021,114982436730000.0,46554,2163875,0.26730000000000004
2020-06-29,COALINDIA,EQ,142.1,140.55,140.85,134.15,135.05,134.85,135.94,14576506,198152044325000.0,97559,4822561,0.3308
2020-06-30,COALINDIA,EQ,134.85,136.35,137.15,132.35,133.15,132.85,134.67,9576074,128964939534999.98,61798,3279784,0.3425
2020-07-01,COALINDIA,EQ,132.85,132.85,134.65,131.4,134.05,133.85,133.51,8413691,112334179075000.0,47189,2143545,0.2548
2020-07-02,COALINDIA,EQ,133.85,134.05,135.0,132.8,133.75,133.6,133.69,7746561,103566527070000.0,47067,2369671,0.3059
2020-07-03,COALINDIA,EQ,133.6,134.4,135.9,133.05,135.0,135.25,134.37,9093435,122186966209999.98,62413,2972361,0.32689999999999997
2020-07-06,COALINDIA,EQ,135.25,136.3,137.5,135.25,135.85,135.85,136.17,9491956,129249641320000.0,48520,3101204,0.32670000000000005
2020-07-07,COALINDIA,EQ,135.85,136.5,136.7,132.6,133.0,132.85,133.63,9905750,132375357750000.0,94169,4459127,0.45020000000000004
2020-07-08,COALINDIA,EQ,132.85,132.95,134.45,131.6,132.85,132.85,132.92,12308840,163603283365000.0,70137,4798469,0.3898
2020-07-09,COALINDIA,EQ,132.85,133.5,135.3,129.1,130.8,130.4,131.48,19348275,254382274419999.97,113948,8447928,0.4366
2020-07-10,COALINDIA,EQ,130.4,129.5,132.25,128.2,131.25,131.2,130.67,17079042,223170900665000.0,94861,5097240,0.2984
2020-07-13,COALINDIA,EQ,131.2,131.8,132.45,130.3,130.65,130.5,130.98,7748616,101494549455000.0,58621,3158897,0.40770000000000006
2020-07-14,COALINDIA,EQ,130.5,130.4,130.4,128.0,128.25,128.25,128.94,7234663,93286143855000.0,56207,2750599,0.38020000000000004
2020-07-15,COALINDIA,EQ,128.25,128.85,129.45,127.55,128.2,128.0,128.51,7037830,90445044470000.0,54870,3089399,0.439
2020-07-16,COALINDIA,EQ,128.0,127.75,128.0,124.6,126.05,126.15,125.7,11785672,148147917555000.0,113925,3788917,0.3215
2020-07-17,COALINDIA,EQ,126.15,126.6,132.05,126.6,130.95,130.6,129.3,11331580,146521470925000.0,62603,3999890,0.353
2020-07-20,COALINDIA,EQ,130.6,133.5,134.6,131.7,133.1,133.0,133.43,16602099,221524446460000.0,136914,4722851,0.2845
2020-07-21,COALINDIA,EQ,133.0,133.5,134.5,132.0,133.15,133.1,133.39,10375599,138400243659999.98,100505,3854659,0.3715
2020-07-22,COALINDIA,EQ,133.1,133.7,136.7,132.75,134.25,134.1,135.04,14123442,190726249445000.0,95814,4667350,0.33049999999999996
2020-07-23,COALINDIA,EQ,134.1,134.9,135.55,133.2,133.5,133.45,134.27,5534401,74308142085000.0,34953,1272852,0.23
2020-07-24,COALINDIA,EQ,133.45,132.9,132.9,130.0,131.5,131.6,131.16,8426461,110521803459999.98,53860,2254150,0.2675
2020-07-27,COALINDIA,EQ,131.6,131.6,131.8,129.35,130.0,129.95,130.37,5361640,69900321240000.0,39588,1364613,0.2545
2020-07-28,COALINDIA,EQ,129.95,130.1,130.75,128.55,130.35,130.45,129.83,5274400,68477914315000.0,31381,1537890,0.2916
2020-07-29,COALINDIA,EQ,130.45,130.0,132.5,129.7,131.25,131.2,131.42,5730273,75309266130000.0,36367,1726375,0.3013
2020-07-30,COALINDIA,EQ,131.2,131.3,131.7,128.3,128.75,128.6,129.76,5755343,74680802430000.0,63278,2454335,0.4264
2020-07-31,COALINDIA,EQ,128.6,128.95,130.0,127.55,129.55,129.25,128.77,5310134,68378028990000.0,39395,1466304,0.2761
2020-08-03,COALINDIA,EQ,129.25,129.9,129.9,128.1,128.7,128.4,129.0,4101652,52909509670000.0,27575,917256,0.2236
