Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-12-22,HCLTECH,EQ,870.45,879.15,919.25,872.0,917.0,913.8,892.93,10251896,915418607765000.0,196248,2464715,0.2404
2020-12-23,HCLTECH,EQ,913.8,920.0,935.0,914.8,921.9,922.6,925.27,10723068,992173558065000.0,176400,2681683,0.25010000000000004
2020-12-24,HCLTECH,EQ,922.6,927.95,928.25,910.7,917.0,919.35,919.19,4390561,403576867840000.0,85401,1482546,0.33770000000000006
2020-12-28,HCLTECH,EQ,919.35,925.0,927.5,913.5,922.7,921.8,921.16,3884750,357847999820000.0,88769,1484793,0.3822
2020-12-29,HCLTECH,EQ,921.8,929.0,945.0,925.25,936.0,935.9,936.61,6760167,633163787085000.0,121535,1939725,0.28690000000000004
2020-12-30,HCLTECH,EQ,935.9,938.0,950.0,931.0,941.15,940.7,940.88,6382809,600543704205000.0,129019,1795890,0.28140000000000004
2020-12-31,HCLTECH,EQ,940.7,939.05,949.85,935.0,946.4,946.15,942.19,3468390,326788941930000.0,63219,1199748,0.34590000000000004
2021-01-01,HCLTECH,EQ,946.15,942.0,955.5,942.0,950.25,950.5,950.65,3142822,298771251810000.0,52922,650483,0.207
2021-01-04,HCLTECH,EQ,950.5,959.0,984.7,952.65,978.3,980.4,968.71,5259092,509452321089999.94,96212,1516329,0.2883
2021-01-05,HCLTECH,EQ,980.4,967.2,995.8,967.2,992.5,991.35,985.02,7150252,704317017650000.0,121058,2090745,0.2924
2021-01-06,HCLTECH,EQ,991.35,997.9,998.0,966.1,976.0,978.2,984.98,5995748,590566806815000.0,142578,1618747,0.27
2021-01-07,HCLTECH,EQ,978.2,988.0,988.2,959.4,963.9,962.55,969.71,5261000,510164245464999.94,104038,2179991,0.4144
2021-01-08,HCLTECH,EQ,962.55,974.9,1003.5,970.0,994.15,994.65,986.68,8034775,792773697875000.0,112810,2810366,0.3498
2021-01-11,HCLTECH,EQ,994.65,1015.0,1059.05,1008.0,1053.25,1055.1,1033.95,13384331,1383875159430000.0,259727,3310390,0.24730000000000002
2021-01-12,HCLTECH,EQ,1055.1,1052.0,1065.05,1038.7,1064.0,1062.1,1049.24,6700542,703050220205000.0,183794,2256014,0.3367
2021-01-13,HCLTECH,EQ,1062.1,1064.0,1067.0,1041.0,1057.0,1055.95,1054.37,6691409,705524442980000.0,139957,2642687,0.39490000000000003
2021-01-14,HCLTECH,EQ,1055.95,1049.0,1049.0,1006.6,1031.0,1027.7,1026.49,15021108,1541908864725000.0,349280,6044427,0.40240000000000004
2021-01-15,HCLTECH,EQ,1027.7,1047.65,1052.85,984.0,989.0,989.8,1009.81,23769415,2400269748925000.0,463474,6898115,0.2902
2021-01-18,HCLTECH,EQ,989.8,1000.0,1004.95,976.9,978.1,981.5,990.09,12947569,1281924055490000.0,256612,3795828,0.2932
2021-01-19,HCLTECH,EQ,981.5,988.0,997.0,979.35,987.0,983.85,985.98,6387923,629834681315000.0,168528,2324669,0.3639
2021-01-20,HCLTECH,EQ,983.85,991.75,1009.65,987.55,997.5,999.25,1001.18,7444118,745288778300000.0,153672,2855089,0.3835
2021-01-21,HCLTECH,EQ,999.25,1009.0,1020.0,982.95,991.5,993.3,1003.92,8857975,889272637360000.0,185089,3298387,0.3724
2021-01-22,HCLTECH,EQ,993.3,991.7,1004.0,981.4,985.95,985.8,990.0,5379466,532568921260000.06,182218,2499181,0.4646
2021-01-25,HCLTECH,EQ,985.8,997.0,997.0,941.0,948.0,947.5,966.54,7731883,747314466695000.0,325690,3314036,0.4286
2021-01-27,HCLTECH,EQ,947.5,952.1,963.25,942.5,957.4,955.5,955.55,7531736,719696651755000.0,247705,3221736,0.4278
2021-01-28,HCLTECH,EQ,955.5,948.8,952.4,930.1,932.0,933.95,941.03,6960905,655044643455000.0,191909,3198715,0.4595
2021-01-29,HCLTECH,EQ,933.95,941.0,949.5,909.5,914.5,914.0,927.73,7692663,713671419285000.0,160581,3442797,0.4475
2021-02-01,HCLTECH,EQ,914.0,919.0,933.75,896.35,932.1,928.35,915.3,8651478,791868153335000.0,208551,4001582,0.4625
2021-02-02,HCLTECH,EQ,928.35,947.0,963.0,935.55,956.1,954.65,948.74,7690178,729601360545000.0,152162,3437900,0.4471
2021-02-03,HCLTECH,EQ,954.65,966.0,973.3,952.55,961.95,959.9,964.84,6354619,613116275805000.0,142811,2857279,0.4496
2021-02-04,HCLTECH,EQ,959.9,964.7,970.45,950.15,957.0,957.65,959.52,4623148,443599688705000.0,129604,1939632,0.41950000000000004
2021-02-05,HCLTECH,EQ,957.65,960.8,963.9,940.05,947.85,946.15,949.12,4631703,439602661325000.0,104547,1957789,0.4227
2021-02-08,HCLTECH,EQ,946.15,955.0,964.4,941.35,959.5,957.75,954.03,6509526,621031501000000.0,172264,2599006,0.3993
2021-02-09,HCLTECH,EQ,957.75,965.0,981.9,946.6,955.0,951.6,966.24,7557977,730279083905000.0,147283,2150239,0.2845
2021-02-10,HCLTECH,EQ,951.6,955.05,965.1,946.15,960.7,959.45,955.87,4896963,468084047820000.0,113186,1728568,0.353
2021-02-11,HCLTECH,EQ,959.45,959.45,972.5,953.05,972.0,970.4,964.93,3745595,361423942225000.0,107544,1333671,0.3561
2021-02-12,HCLTECH,EQ,970.4,975.0,986.5,957.6,962.8,960.4,974.32,8045740,783912873895000.0,152352,1838062,0.2285
2021-02-15,HCLTECH,EQ,960.4,970.0,971.25,950.1,955.8,954.65,957.08,4643228,444395401714999.94,196711,1883653,0.4057
2021-02-16,HCLTECH,EQ,954.65,957.0,962.25,944.1,953.2,952.3,952.29,3277086,312072972175000.0,100939,1081792,0.3301
2021-02-17,HCLTECH,EQ,952.3,952.0,958.4,941.0,943.0,943.2,946.95,3643176,344988749630000.0,98699,1551623,0.42590000000000006
2021-02-18,HCLTECH,EQ,943.2,944.0,956.75,938.35,950.0,948.1,947.26,5133094,486235603100000.0,160532,2427129,0.4728
2021-02-19,HCLTECH,EQ,948.1,950.0,958.0,944.45,949.9,950.15,951.79,5494816,522993778250000.0,127863,2041991,0.3716
2021-02-22,HCLTECH,EQ,950.15,949.5,951.45,916.05,918.6,920.15,930.32,5043203,469178061025000.0,154368,2073660,0.4112
2021-02-23,HCLTECH,EQ,920.15,924.0,930.0,906.55,911.45,909.95,916.56,5916942,542323891880000.0,154991,2659120,0.44939999999999997
2021-02-24,HCLTECH,EQ,909.95,918.0,919.45,905.5,913.0,916.0,913.47,3435827,313851239550000.0,97531,1484104,0.4319
2021-02-25,HCLTECH,EQ,916.0,925.9,934.05,922.15,931.8,929.25,929.63,6234947,579617259250000.0,203430,4088415,0.6557
2021-02-26,HCLTECH,EQ,929.25,908.0,925.0,905.1,911.0,909.45,914.25,9198218,840949027250000.0,215577,5082547,0.5526
2021-03-01,HCLTECH,EQ,909.45,916.0,934.45,915.65,931.0,930.35,929.18,5397960,501564959060000.06,133976,2777607,0.5146000000000001
2021-03-02,HCLTECH,EQ,930.35,933.85,957.9,928.6,952.0,953.75,945.4,6715548,634887263650000.0,141499,2925252,0.43560000000000004
2021-03-03,HCLTECH,EQ,953.75,965.0,968.0,947.0,963.35,965.25,959.91,5742015,551180574225000.0,123910,2663131,0.46380000000000005
2021-03-04,HCLTECH,EQ,965.25,952.0,969.9,951.35,960.25,958.0,961.42,6268541,602667680975000.0,140258,2769131,0.4418
2021-03-05,HCLTECH,EQ,958.0,956.1,972.0,936.3,943.75,941.5,958.3,5992152,574226310490000.0,122836,2359058,0.3937
2021-03-08,HCLTECH,EQ,941.5,952.5,973.0,944.0,964.1,961.9,962.03,5621823,540835744039999.94,112495,2006147,0.3568
2021-03-09,HCLTECH,EQ,961.9,964.1,976.9,949.1,976.1,973.15,964.46,5440319,524694717085000.06,142977,2873015,0.5281
2021-03-10,HCLTECH,EQ,973.15,985.7,995.1,979.7,987.0,988.5,988.27,7694950,760471657390000.0,183049,2968905,0.3858
