Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-03,HDFC,EQ,1980.65,1984.05,1987.1,1931.85,1937.0,1936.85,1950.27,3732193,727877597200000.0,164907,2383871,0.6386999999999999
2019-01-04,HDFC,EQ,1936.85,1948.0,1976.0,1942.0,1973.0,1972.6,1957.64,2109614,412986663725000.0,109267,1090688,0.517
2019-01-07,HDFC,EQ,1972.6,1976.95,1987.5,1963.95,1974.0,1972.9,1975.79,2255477,445635147535000.06,103782,1534212,0.6802
2019-01-08,HDFC,EQ,1972.9,1983.0,1983.0,1948.0,1955.85,1958.95,1959.5,2061919,404033495440000.0,116508,1286819,0.6241
2019-01-09,HDFC,EQ,1958.95,1962.0,1998.0,1962.0,1991.3,1994.95,1980.98,2905090,575492787535000.0,140547,1993913,0.6864
2019-01-10,HDFC,EQ,1994.95,1993.0,1993.0,1971.3,1976.0,1980.1,1980.17,2138302,423420805295000.0,132922,1335881,0.6247
2019-01-11,HDFC,EQ,1980.1,1978.0,2007.7,1972.4,1990.25,1991.4,1989.68,1814132,360953877025000.0,75412,814361,0.4489
2019-01-14,HDFC,EQ,1991.4,1983.0,1983.15,1949.6,1969.25,1969.2,1962.84,2167796,425503186285000.0,121070,1059517,0.4888
2019-01-15,HDFC,EQ,1969.2,1975.2,1996.0,1964.0,1988.4,1992.15,1982.27,2111042,418465956745000.0,94472,1151586,0.5455
2019-01-16,HDFC,EQ,1992.15,1989.0,1994.75,1965.5,1976.9,1975.0,1976.96,1878811,371432564530000.0,124051,1089727,0.58
2019-01-17,HDFC,EQ,1975.0,1982.75,2007.0,1979.05,2000.2,2004.55,1994.18,2773741,553134623410000.06,114664,1790337,0.6455
2019-01-18,HDFC,EQ,2004.55,2004.0,2012.6,1989.25,2000.05,2006.85,2001.77,1942136,388770273605000.0,106598,1169031,0.6019
2019-01-21,HDFC,EQ,2006.85,1998.0,2016.0,1983.2,2005.0,2004.45,2002.93,2146668,429963286225000.0,114048,1113020,0.5185000000000001
2019-01-22,HDFC,EQ,2004.45,1999.0,2002.15,1968.5,1981.3,1979.4,1978.04,3502920,692891228330000.0,139684,2155415,0.6153000000000001
2019-01-23,HDFC,EQ,1979.4,1981.8,1984.95,1951.3,1957.25,1958.25,1963.4,2201110,432164890655000.0,85100,1349707,0.6132
2019-01-24,HDFC,EQ,1958.25,1960.0,1976.0,1942.15,1972.5,1971.1,1956.37,2194496,429323936905000.0,108308,1284755,0.5854
2019-01-25,HDFC,EQ,1971.1,1964.4,1993.0,1963.95,1973.35,1977.8,1982.39,2240491,444152124589999.94,86235,1460180,0.6517000000000001
2019-01-28,HDFC,EQ,1977.8,1978.7,1982.2,1938.1,1951.0,1946.9,1953.84,2698966,527333660220000.0,127940,1607935,0.5958
2019-01-29,HDFC,EQ,1946.9,1943.7,1949.9,1893.3,1928.5,1922.3,1924.99,4035877,776902349025000.0,160916,2005424,0.4969
2019-01-30,HDFC,EQ,1922.3,1924.6,1929.3,1869.5,1878.9,1885.8,1885.95,4127767,778478203375000.0,186737,2413309,0.5847
2019-01-31,HDFC,EQ,1885.8,1883.0,1941.2,1877.3,1919.0,1922.35,1909.13,5303839,1012570214085000.0,201185,3432974,0.6473000000000001
2019-02-01,HDFC,EQ,1922.35,1929.0,1974.45,1925.1,1963.7,1961.25,1955.77,4867443,951960999704999.9,172934,3347385,0.6877
2019-02-04,HDFC,EQ,1961.25,1959.9,1981.95,1942.0,1975.0,1978.5,1964.33,1421635,279255587594999.97,116546,761114,0.5354
2019-02-05,HDFC,EQ,1978.5,1979.8,1985.0,1962.25,1980.0,1981.4,1974.51,1450509,286404997550000.0,76606,867313,0.5979
2019-02-06,HDFC,EQ,1981.4,1983.6,1994.9,1975.5,1990.0,1987.95,1988.96,2036890,405129562055000.0,109932,1487989,0.7305
2019-02-07,HDFC,EQ,1987.95,1990.05,1991.95,1962.55,1965.5,1969.65,1976.27,2722458,538031802750000.0,117658,1821245,0.669
2019-02-08,HDFC,EQ,1969.65,1963.1,1968.6,1936.85,1939.6,1944.65,1956.33,2187808,428007012875000.0,99624,1553284,0.71
2019-02-11,HDFC,EQ,1944.65,1943.9,1959.0,1935.6,1951.25,1948.2,1947.12,2209258,430168217489999.94,87814,1585172,0.7175
2019-02-12,HDFC,EQ,1948.2,1950.0,1956.4,1901.15,1904.5,1905.05,1924.17,2642567,508475471805000.0,142801,1960215,0.7418000000000001
2019-02-13,HDFC,EQ,1905.05,1907.1,1943.0,1907.1,1920.75,1930.5,1928.38,3710809,715583834795000.0,171878,2537071,0.6837000000000001
2019-02-14,HDFC,EQ,1930.5,1921.0,1929.25,1893.85,1905.45,1900.7,1910.35,2511047,479698445939999.94,187582,1668169,0.6643000000000001
2019-02-15,HDFC,EQ,1900.7,1900.6,1900.6,1856.5,1877.25,1874.9,1872.23,2647706,495711336710000.06,145607,1824317,0.6890000000000001
2019-02-18,HDFC,EQ,1874.9,1877.3,1893.0,1864.05,1873.8,1874.85,1874.84,2768637,519074735110000.06,140482,1901040,0.6866
2019-02-19,HDFC,EQ,1874.85,1870.0,1888.5,1844.25,1849.25,1853.45,1869.81,2988645,558820900945000.0,89942,1782993,0.5966
2019-02-20,HDFC,EQ,1853.45,1865.0,1874.95,1858.0,1869.0,1870.5,1866.82,2645051,493783828625000.0,150078,1955716,0.7394
2019-02-21,HDFC,EQ,1870.5,1871.0,1894.7,1865.1,1890.45,1891.45,1881.67,1578842,297085730660000.0,96909,1013242,0.6418
2019-02-22,HDFC,EQ,1891.45,1893.95,1899.0,1877.5,1887.0,1887.4,1888.58,2461406,464855560275000.0,133440,1682352,0.6835
2019-02-25,HDFC,EQ,1887.4,1897.9,1897.9,1871.5,1896.9,1894.5,1886.54,2049742,386692667045000.0,114319,1376454,0.6715000000000001
2019-02-26,HDFC,EQ,1894.5,1874.0,1894.65,1850.0,1856.0,1853.65,1865.27,3756159,700626063980000.0,140566,2555870,0.6804000000000001
2019-02-27,HDFC,EQ,1853.65,1868.0,1870.0,1820.0,1840.5,1841.0,1845.85,3412510,629898250745000.0,183158,2141106,0.6274000000000001
2019-02-28,HDFC,EQ,1841.0,1849.0,1853.65,1834.6,1841.8,1841.2,1841.82,5693899,1048715360815000.0,140502,4338656,0.762
2019-03-01,HDFC,EQ,1841.2,1850.4,1863.4,1838.3,1859.8,1859.45,1851.62,2679223,496091615020000.0,90888,1919501,0.7164
2019-03-05,HDFC,EQ,1859.45,1856.8,1868.4,1838.55,1860.05,1860.0,1857.2,2256049,418993251345000.0,160247,1498401,0.6642
2019-03-06,HDFC,EQ,1860.0,1864.7,1889.5,1858.8,1886.0,1885.2,1873.84,1828916,342710018860000.0,86594,1151404,0.6296
2019-03-07,HDFC,EQ,1885.2,1892.0,1892.0,1865.2,1879.0,1880.2,1878.9,2171462,407996847505000.0,96426,1403671,0.6464
2019-03-08,HDFC,EQ,1880.2,1879.0,1888.0,1871.1,1886.3,1884.05,1879.97,1845737,346993505510000.0,134127,1271944,0.6890999999999999
2019-03-11,HDFC,EQ,1884.05,1886.35,1903.8,1884.0,1902.8,1897.55,1895.34,3170249,600869691640000.0,96873,2291324,0.7228
2019-03-12,HDFC,EQ,1897.55,1914.9,1936.65,1900.1,1926.25,1930.0,1915.08,3692761,707193306710000.0,150711,2506439,0.6787000000000001
2019-03-13,HDFC,EQ,1930.0,1939.0,1964.4,1923.4,1948.2,1950.65,1946.93,3570861,695221050245000.0,162285,2232272,0.6251
2019-03-14,HDFC,EQ,1950.65,1971.8,1975.1,1949.3,1961.1,1956.95,1959.13,3985679,780847643880000.0,117151,2819047,0.7073
2019-03-15,HDFC,EQ,1956.95,1960.0,1991.7,1955.9,1976.8,1974.65,1972.9,5984639,1180706560075000.0,124258,4719692,0.7886
2019-03-18,HDFC,EQ,1974.65,1982.0,1994.95,1953.1,1967.0,1962.4,1968.65,2563905,504742739164999.94,119652,1673533,0.6527
2019-03-19,HDFC,EQ,1962.4,1972.9,1978.55,1962.1,1967.0,1967.85,1968.78,2827631,556698436039999.94,145386,2159247,0.7636000000000001
2019-03-20,HDFC,EQ,1967.85,1975.0,1998.0,1968.1,1985.0,1987.55,1984.87,3654200,725311154335000.0,178859,2673876,0.7317
2019-03-22,HDFC,EQ,1987.55,1998.0,2010.0,1970.6,1988.0,1981.55,1991.26,3560396,708968726265000.0,146667,2512560,0.7057
2019-03-25,HDFC,EQ,1981.55,1976.9,1976.9,1938.2,1944.65,1945.65,1952.32,3270882,638579993985000.0,107378,2507744,0.7667
2019-03-26,HDFC,EQ,1945.65,1950.4,1953.35,1930.85,1948.2,1946.3,1944.21,2621669,509707292460000.06,87318,1782160,0.6798000000000001
2019-03-27,HDFC,EQ,1946.3,1955.55,1959.0,1906.0,1914.1,1919.9,1937.71,3076446,596125284845000.0,161822,2146231,0.6976000000000001
2019-03-28,HDFC,EQ,1919.9,1917.0,1950.0,1912.05,1942.1,1944.45,1942.93,6370987,1237836407370000.0,151893,5177109,0.8126000000000001
2019-03-29,HDFC,EQ,1944.45,1950.05,1972.25,1936.05,1964.0,1968.25,1956.38,4320179,845192456510000.0,148642,3200934,0.7409
2019-04-01,HDFC,EQ,1968.25,1968.1,1975.0,1945.05,1951.0,1959.65,1960.06,3328552,652415434230000.0,168073,2370360,0.7121
2019-04-02,HDFC,EQ,1959.65,1966.1,2001.0,1955.0,1998.95,1995.95,1979.73,3655232,723638728735000.0,159005,2561511,0.7008
2019-04-03,HDFC,EQ,1995.95,2004.0,2032.45,1997.15,2008.75,2013.1,2019.73,4345772,877727009925000.0,109651,2926819,0.6735
2019-04-04,HDFC,EQ,2013.1,2008.0,2058.8,2006.3,2041.9,2042.05,2037.46,4463212,909360410220000.1,154293,3106308,0.696
2019-04-05,HDFC,EQ,2042.05,2045.0,2065.0,2035.0,2064.5,2059.2,2055.28,2576789,529602274625000.0,125822,1692384,0.6568
2019-04-08,HDFC,EQ,2059.2,2068.0,2072.5,2029.25,2052.0,2054.9,2048.64,2057768,421562644020000.0,114354,1387042,0.6741
2019-04-09,HDFC,EQ,2054.9,2062.5,2073.0,2039.15,2067.0,2069.15,2057.72,2381281,490001303560000.06,162102,1662887,0.6983
2019-04-10,HDFC,EQ,2069.15,2067.5,2068.0,2025.1,2029.95,2029.25,2038.39,3036356,618926695415000.0,151203,2155517,0.7099
2019-04-11,HDFC,EQ,2029.25,2028.0,2048.0,2017.5,2018.1,2022.8,2029.46,2521729,511774216755000.0,160208,1690856,0.6705
2019-04-12,HDFC,EQ,2022.8,2024.0,2029.9,2008.1,2023.0,2024.95,2020.07,2121821,428623296910000.0,102234,1519702,0.7162000000000001
2019-04-15,HDFC,EQ,2024.95,2034.9,2034.9,2010.0,2012.0,2014.25,2019.1,1333222,269191010035000.0,76176,811985,0.609
2019-04-16,HDFC,EQ,2014.25,2019.7,2034.3,2016.1,2027.2,2026.7,2025.8,2000314,405223562305000.0,166866,1489678,0.7447
2019-04-18,HDFC,EQ,2026.7,2040.0,2047.9,1998.15,2005.0,2003.75,2013.04,3888701,782809542940000.0,175404,2147684,0.5523
2019-04-22,HDFC,EQ,2003.75,2005.0,2010.0,1948.0,1958.5,1953.9,1970.41,2002662,394605551820000.0,80677,1361456,0.6798000000000001
2019-04-23,HDFC,EQ,1953.9,1958.0,1966.25,1929.6,1930.0,1934.7,1944.34,2848980,553937318830000.0,109800,1999347,0.7018000000000001
2019-04-24,HDFC,EQ,1934.7,1943.9,1985.0,1933.25,1984.7,1980.4,1958.44,2758373,540210293580000.0,115391,1799052,0.6522
2019-04-25,HDFC,EQ,1980.4,1987.55,1998.8,1946.55,1951.45,1955.15,1970.35,4162465,820150787650000.0,136733,2807343,0.6744
2019-04-26,HDFC,EQ,1955.15,1959.3,1982.15,1941.6,1976.95,1977.4,1963.96,2094836,411417719320000.0,102041,1440081,0.6874
2019-04-30,HDFC,EQ,1977.4,1977.4,1999.85,1954.2,1995.55,1995.05,1976.43,3675345,726404496040000.0,122095,2606623,0.7092
2019-05-02,HDFC,EQ,1995.05,1995.0,2027.9,1989.25,2018.0,2017.4,2012.44,2380823,479125803110000.06,124835,1428794,0.6001
2019-05-03,HDFC,EQ,2017.4,2017.5,2037.6,2000.0,2002.8,2006.4,2020.47,1451357,293242222885000.0,80223,850504,0.5860000000000001
2019-05-06,HDFC,EQ,2006.4,1987.25,1993.95,1957.0,1965.9,1965.45,1967.93,2216418,436174752739999.94,89509,1394023,0.629
2019-05-07,HDFC,EQ,1965.45,1974.8,2009.15,1959.2,1964.5,1966.3,1983.01,2683956,532231511339999.94,114029,1522276,0.5672
2019-05-08,HDFC,EQ,1966.3,1964.5,1964.5,1925.05,1930.1,1930.75,1941.55,3626183,704042190280000.0,151779,2378973,0.6561
2019-05-09,HDFC,EQ,1930.75,1926.0,1931.6,1901.3,1914.15,1914.6,1918.15,1932792,370738169790000.0,130444,1132999,0.5861999999999999
2019-05-10,HDFC,EQ,1914.6,1915.25,1956.0,1910.75,1926.8,1931.7,1936.05,1628923,315368160560000.0,97684,811832,0.49840000000000007
2019-05-13,HDFC,EQ,1931.7,1926.1,1984.4,1917.85,1957.0,1952.9,1958.85,4509527,883350390725000.0,139299,1332224,0.2954
2019-05-14,HDFC,EQ,1952.9,1961.0,1989.8,1924.25,1964.2,1965.2,1951.75,4304854,840200546605000.0,158101,2374347,0.5516
2019-05-15,HDFC,EQ,1965.2,1975.0,1979.95,1937.5,1939.5,1944.95,1961.65,2371807,465264741680000.0,114555,1282986,0.5409
2019-05-16,HDFC,EQ,1944.95,1954.0,1954.0,1923.3,1945.1,1942.1,1935.38,2527762,489218918814999.94,151697,1489760,0.5894
2019-05-17,HDFC,EQ,1942.1,1941.0,1997.95,1938.55,1996.0,1993.65,1980.19,2328374,461061536250000.0,140080,1234416,0.5302
2019-05-20,HDFC,EQ,1993.65,2030.5,2135.5,2030.0,2120.05,2122.5,2093.43,6214064,1300873153150000.0,197428,4036207,0.6495000000000001
2019-05-21,HDFC,EQ,2122.5,2141.2,2178.9,2104.1,2118.0,2114.5,2145.11,5575430,1195990483395000.0,246995,3565221,0.6395000000000001
2019-05-22,HDFC,EQ,2114.5,2124.0,2155.2,2119.0,2141.55,2138.8,2138.55,3076404,657904333790000.0,177513,1843624,0.5993
2019-05-23,HDFC,EQ,2138.8,2174.0,2210.0,2103.3,2128.95,2114.4,2168.72,7619751,1652509671890000.0,314169,4744033,0.6226
2019-05-24,HDFC,EQ,2114.4,2125.0,2151.9,2095.0,2123.0,2123.4,2120.74,3307188,701369865310000.0,144719,1769591,0.5351
2019-05-27,HDFC,EQ,2123.4,2129.95,2187.5,2116.2,2159.3,2165.3,2161.74,3886480,840155226440000.0,154680,2302288,0.5924
2019-05-28,HDFC,EQ,2165.3,2167.0,2169.75,2114.0,2158.0,2147.85,2140.11,7177003,1535955630215000.0,231249,5324657,0.7419
